Representative,District,Party,distJOIN
Daniel J. Burke,1,D,001
Edward J. Acevedo,2,D,002
Luis Arroyo,3,D,003
Cynthia Soto,4,D,004
Kenneth Dunkin,5,D,005
Esther Golar,6,D,006
Emanuel Chris Welch,7,D,007
La Shawn K. Ford,8,D,008
Arthur Turner,9,D,009
Derrick Smith,10,D,010
Ann Williams,11,D,011
Sara Feigenholtz,12,D,012
Greg Harris,13,D,013
Kelly M. Cassidy,14,D,014
John D'Amico,15,D,015
Lou Lang,16,D,016
Laura Fine,17,D,017
Robyn Gabel,18,D,018
Robert F. Martwick,19,D,019
Michael P. McAuliffe,20,R,020
Silvana Tabares,21,D,021
Michael J. Madigan,22,D,022
Michael J. Zalewski,23,D,023
Elizabeth Hernandez,24,D,024
Barbara Flynn Currie,25,D,025
Christian L. Mitchell,26,D,026
Monique D. Davis,27,D,027
Robert Rita,28,D,028
Thaddeus Jones,29,D,029
William Davis,30,D,030
Mary E. Flowers,31,D,031
André M. Thapedi,32,D,032
Marcus C. Evans Jr.,33,D,033
Elgie R. Sims Jr.,34,D,034
Frances Ann Hurley,35,D,035
Kelly Burke,36,D,036
Renée Kosel,37,R,037
Al Riley,38,D,038
Maria Antonia Berrios,39,D,039
Jaime M. Andrade Jr.,40,D,040
Darlene J. Senger,41,R,041
Jeanne M Ives,42,R,042
Anna Moeller,43,D,043
Fred Crespo,44,D,044
Dennis M. Reboletti,45,R,045
Deborah Conroy,46,D,046
Patricia R. Bellock,47,R,047
Sandra M. Pihos,48,R,048
Mike Fortner,49,R,049
Kay Hatcher,50,R,050
Ed Sullivan Jr.,51,R,051
David McSweeney,52,R,052
David Harris,53,R,053
Thomas Morrison,54,R,054
Martin J. Moylan,55,D,055
Michelle Mussman,56,D,056
Elaine Nekritz,57,D,057
Scott Drury,58,D,058
Carol A. Sente,59,D,059
Rita Mayfield,60,D,060
JoAnn D. Osmond,61,R,061
Sam Yingling,62,D,062
Jack D. Franks,63,D,063
Barbara Wheeler,64,R,064
Timothy L. Schmitz,65,R,065
Michael W. Tryon,66,R,066
Charles E. Jefferson,67,D,067
John M. Cabello,68,R,068
Joe Sosnowski,69,R,069
Robert W. Pritchard,70,R,070
Mike Smiddy,71,D,071
Patrick J. Verschoore,72,D,072
David R. Leitch,73,R,073
Donald L. Moffitt,74,R,074
John D. Anthony,75,R,075
Frank J. Mautino,76,D,076
Kathleen Willis,77,D,077
Camille Y. Lilly,78,D,078
Katherine Cloonen,79,D,079
Anthony DeLuca,80,D,080
Ron Sandack,81,R,081
Jim Durkin,82,R,082
Linda Chapa LaVia,83,D,083
Stephanie A. Kifowit,84,D,084
Emily McAsey,85,D,085
Lawrence M. Walsh Jr.,86,D,086
Rich Brauer,87,R,087
Keith P. Sommer,88,R,088
Brian W. Stewart,89,R,089
Tom Demmer,90,R,090
Michael Unes,91,R,091
Jehan A. Gordon-Booth,92,D,092
Norine Hammond,93,R,093
Jil Tracy,94,R,094
Wayne Rosenthal,95,R,095
Sue Scherer,96,D,096
Tom Cross,97,R,097
Natalie A. Manley,98,D,098
Raymond Poe,99,R,099
C.D. Davidsmeyer,100,R,100
Bill Mitchell,101,R,101
Adam Brown,102,R,102
Naomi D. Jakobsson,103,D,103
Chad Hays,104,R,104
Dan Brady,105,R,105
Josh Harms,106,R,106
John D. Cavaletto,107,R,107
Charles E. Meier,108,R,108
David Reis,109,R,109
Brad E. Halbrook,110,R,110
Daniel V. Beiser,111,D,111
Dwight Kay,112,R,112
Jay Hoffman,113,D,113
Eddie Lee Jackson Sr.,114,D,114
Mike Bost,115,R,115
Jerry F. Costello II,116,D,116
John E. Bradley,117,D,117
Brandon W. Phelps,118,D,118
