Number,State,Racename,Town,Completed,Time,mDate,Lat,Long
1,California,Los Angeles Marathon,Los Angeles,3:44:29,1998-03-29,03/29/1998,34.0204989,-118.4117325
2,Illinois,Chicago Marathon,Chicago,3:18:14,1999-10-24,10/24/1999,41.8337329,-87.7321555
3,Massachusetts,Boston Marathon,Boston,3:43:46,2000-04-17,04/17/2000,42.3133735,-71.0296462
4,Michigan,Detroit Marathon,Detroit,3:20:28,2006-10-29,10/29/2006,42.352711,-83.099205
5,Alabama,Rocket City Marathon,Huntsville,3:28:28,2006-12-09,12/09/2006,34.7014286,-86.6597495
6,West Virginia,Marshall University Marathon,Huntington,3:24:19,2010-11-07,11/07/2010,38.4076705,-82.4419359
7,Washington,Bellingham Bay Marathon,Bellingham,3:46:18,2011-09-25,09/25/2011,48.7537357,-122.46131
8,New York,New York City Marathon,New York City,3:54:52,2011-11-06,11/06/2011,40.7056308,-73.9780035
9,Mississippi,Mississippi Coast Marathon,Waveland,3:22:11,2011-11-26,11/26/2011,30.2851099,-89.3782905
10,Delaware,Seashore Marathon,Rehoboth Beach,3:40:19,2011-12-10,12/10/2011,38.724158,-75.0928552
11,Florida,Disney World Marathon,Orlando,3:43:46,2012-01-08,01/08/2012,28.4811689,-81.36875
12,Arizona,Rock N Roll Marathon,Tempe,3:40:16,2012-01-15,01/15/2012,33.3919224,-111.9281011
13,South Carolina,Myrtle Beach Marathon,Myrtle Beach,3:41:59,2012-02-18,02/18/2012,33.7197455,-78.8788075
14,Maryland,B&A Trail Marathon,Severna Park,3:45:11,2012-03-04,03/04/2012,39.0870708,-76.5729721
15,Virginia,Shamrock Marathon,Virginia Beach,3:45:33,2012-03-18,03/18/2012,36.7674971,-76.0476647
16,Oklahoma,A2A Marathon,Ardmore,3:55:20,2012-04-01,04/01/2012,34.230639,-97.1057965
17,Rhode Island,Gansett Marathon,Narragansett,3:52:26,2012-04-14,04/14/2012,41.45,-71.4495
18,Ohio,Glass City Marathon,Toledo,3:28:29,2012-04-22,04/22/2012,41.656555,-83.5744712
19,New Mexico,Shiprock Marathon,Shiprock,3:52:55,2012-05-05,05/05/2012,36.7735,-108.7014
20,Utah,Ogden Marathon,Ogden,3:47:28,2012-05-19,05/19/2012,41.2227253,-111.972674
21,Wyoming,Casper Marathon,Casper,3:55:14,2012-06-03,06/03/2012,42.8498168,-106.3248799
22,Minnesota,Grandma's Marathon,Duluth,3:46:42,2012-06-16,06/16/2012,46.7649885,-92.1112232
23,Wisconsin,HFM Maritime Marathon,Manitowoc,3:52:53,2012-06-24,06/24/2012,44.0938975,-87.6907719
24,Oregon,Foot Traffic Flat Marathon,Portland ,3:45:19,2012-07-04,07/04/2012,45.5424364,-122.654422
25,Nevada,ET Full Moon Midnight Marathon,Rachel,3:54:31,2012-08-05,08/05/2012,37.6446714,-115.7436451
26,Alaska,Moose's Tooth Marathon,Anchorage,3:47:16,2012-08-19,08/19/2012,61.2167,-149.9
27,Colorado,ADT Marathon,Colorado Springs,3:42:22,2012-09-03,09/03/2012,38.8338,-104.8213
28,Pennsylvania,Erie Marathon,Erie,3:43:07,2012-09-16,09/16/2012,42.1153695,-80.070947
29,Nebraska,Omaha Marathon,Omaha,3:47:23,2012-09-23,09/23/2012,41.2523,-95.9979
30,New Hampshire,Clarence DeMar Marathon,Keene,3:54:08,2012-09-30,09/30/2012,42.952108,-72.2998369
31,Connecticut,Hartford Marathon,Hartford,3:46:10,2012-10-13,10/13/2012,41.7656874,-72.680087
32,Iowa,Des Moines Marathon,Des Moines,3:44:15,2012-10-21,10/21/2012,41.5666699,-93.606516
33,Indiana,Monumental Marathon,Indianapolis,3:44:51,2012-11-03,11/03/2012,39.7797845,-86.13275
34,North Carolina,OBX Marathon,Outer Banks,3:51:53,2012-11-11,11/11/2012,35.248,-75.5393
35,Arkansas,White River Marathon,Cotter,3:54:45,2012-11-17,11/17/2012,36.2823571,-92.5237724
36,Tennessee,St. Jude Marathon,Memphis,3:55:15,2012-12-01,12/01/2012,35.129186,-89.9696395
37,Louisiana,Louisiana Marathon,Baton Rouge ,3:38:32,2013-01-20,01/20/2013,30.441474,-91.108663
38,Georgia,Albany Marathon,Albany,3:41:12,2013-03-02,03/02/2013,31.5728946,-84.165929
39,Hawaii,Big Island Marathon,Hilo,3:47:34,2013-03-17,03/17/2013,19.6839339,-155.0899345
40,Missouri,Go! Marathon,St. Louis,3:43:28,2013-04-07,04/07/2013,38.6537065,-90.2477908
41,Kansas,Eisenhower Marathon,Abilene,3:52:15,2013-04-13,04/13/2013,38.922033,-97.2315614
42,Kentucky,Derby Festival Marathon,Louisville,3:42:48,2013-04-27,04/27/2013,38.2526,-85.7584
43,New Jersey,New Jersey Marathon,Long Branch,3:48:54,2013-05-05,05/05/2013,40.2952752,-73.9938573
44,North Dakota,Fargo Marathon,Fargo,3:54:27,2013-05-18,05/18/2013,46.8541979,-96.8285138
54,Vermont,Vermont City Marathon,Burlington ,3:47:18,2013-05-26,05/26/2013,44.4925904,-73.2266484
46,Maine,Bay of Fundy Marathon,Lubec,3:44:26,2013-06-23,06/23/2013,44.833937,-67.0298974
47,Montana,Missoula Marathon,Missoula,3:43:04,2013-07-14,07/14/2013,46.8763215,-114.018167
48,Idaho,Pocatello Marathon,Pocatello,3:42:47,2013-08-31,08/31/2013,42.8645675,-112.428168
49,South Dakota,Sioux Falls Marathon,Sioux Falls,3:58:31,2013-09-08,09/08/2013,43.5410331,-96.7457591
50,District of Columbia,Marine Corps Marathon ,Washington,3:48:06,2013-10-27,10/27/2013,38.8935965,-77.014576
51,Texas,Houston Marathon,Houston,3:45:00,2014-01-19,01/19/2014,29.817178,-95.4012915
