State,Racename,Town,Time,Number,Date
California,Los Angeles Marathon,Los Angeles,3:44:29,1,03/29/1998
Illinois,Chicago Marathon,Chicago,3:18:14,2,10/24/1999
Massachusetts,Boston Marathon,Boston,3:43:46,3,04/17/2000
Michigan,Detroit Marathon,Detroit,3:20:28,4,10/29/2006
Alabama,Rocket City Marathon,Huntsville,3:28:28,5,12/09/2006
West Virginia,Marshall University Marathon,Huntington,3:24:19,6,11/07/2010
Washington,Bellingham Bay Marathon,Bellingham,3:46:18,7,09/25/2011
New York,New York City Marathon,New York City,3:54:52,8,11/06/2011
Mississippi,Mississippi Coast Marathon,Waveland,3:22:11,9,11/26/2011
Delaware,Seashore Marathon,Rehoboth Beach,3:40:19,10,12/10/2011
Florida,Disney World Marathon,Orlando,3:43:46,11,01/08/2012
Arizona,Rock N Roll Marathon,Tempe,3:40:16,12,01/15/2012
South Carolina,Myrtle Beach Marathon,Myrtle Beach,3:41:59,13,02/18/2012
Maryland,B&A Trail Marathon,Severna Park,3:45:11,14,03/04/2012
Virginia,Shamrock Marathon,Virginia Beach,3:45:33,15,03/18/2012
Oklahoma,A2A Marathon,Ardmore,3:55:20,16,04/01/2012
Rhode Island,Gansett Marathon,Narragansett,3:52:26,17,04/14/2012
Ohio,Glass City Marathon,Toledo,3:28:29,18,04/22/2012
New Mexico,Shiprock Marathon,Shiprock,3:52:55,19,05/05/2012
Utah,Ogden Marathon,Ogden,3:47:28,20,05/19/2012
Wyoming,Casper Marathon,Casper,3:55:14,21,06/03/2012
Minnesota,Grandma's Marathon,Duluth,3:46:42,22,06/16/2012
Wisconsin,HFM Maritime Marathon,Manitowoc,3:52:53,23,06/24/2012
Oregon,Foot Traffic Flat Marathon,Portland ,3:45:19,24,07/04/2012
Nevada,ET Full Moon Midnight Marathon,Rachel,3:54:31,25,08/05/2012
Alaska,Moose's Tooth Marathon,Anchorage,3:47:16,26,08/19/2012
Colorado,ADT Marathon,Colorado Springs,3:42:22,27,09/03/2012
Pennsylvania,Erie Marathon,Erie,3:43:07,28,09/16/2012
Nebraska,Omaha Marathon,Omaha,3:47:23,29,09/23/2012
New Hampshire,Clarence DeMar Marathon,Keene,3:54:08,30,09/30/2012
Connecticut,Hartford Marathon,Hartford,3:46:10,31,10/13/2012
Iowa,Des Moines Marathon,Des Moines,3:44:15,32,10/21/2012
Indiana,Monumental Marathon,Indianapolis,3:44:51,33,11/03/2012
North Carolina,OBX Marathon,Outer Banks,3:51:53,34,11/11/2012
Arkansas,White River Marathon,Cotter,3:54:45,35,11/17/2012
Tennessee,St. Jude Marathon,Memphis,3:55:15,36,12/01/2012
Louisiana,Louisiana Marathon,Baton Rouge ,3:38:32,37,01/20/2013
Georgia,Albany Marathon,Albany,3:41:12,38,03/02/2013
Hawaii,Big Island Marathon,Hilo,3:47:34,39,03/17/2013
Missouri,Go! Marathon,St. Louis,3:43:28,40,04/07/2013
Kansas,Eisenhower Marathon,Abilene,3:52:15,41,04/13/2013
Kentucky,Derby Festival Marathon,Louisville,3:42:48,42,04/27/2013
New Jersey,New Jersey Marathon,Long Branch,3:48:54,43,05/05/2013
North Dakota,Fargo Marathon,Fargo,3:54:27,44,05/18/2013
Vermont,Vermont City Marathon,Burlington ,3:47:18,54,05/26/2013
Maine,Bay of Fundy Marathon,Lubec,3:44:26,46,06/23/2013
Montana,Missoula Marathon,Missoula,3:43:04,47,07/14/2013
Idaho,Pocatello Marathon,Pocatello,3:42:47,48,08/31/2013
South Dakota,Sioux Falls Marathon,Sioux Falls,3:58:31,49,09/08/2013
District of Columbia,Marine Corps Marathon ,Washington,3:48:06,50,10/27/2013
Texas,Houston Marathon,Houston,3:45:00,51,01/19/2014
