"NAME10","FOID Holders","Population","percPop"
"Maple Park","1,017","1,453","70.0"
"Lake Villa","3,347","8,618","38.8"
"Hampshire","2,200","5,837","37.7"
"Elburn","1,812","5,461","33.2"
"Antioch","4,088","13,919","29.4"
"Barrington","3,104","10,636","29.2"
"McHenry","7,385","26,760","27.6"
"Sugar Grove","2,003","8,567","23.4"
"St. Charles","7,605","32,792","23.2"
"Volo",490,"2,363","20.7"
"Cary","3,386","18,236","18.6"
"Crystal Lake","7,502","41,027","18.3"
"Fox River Grove",862,"4,722","18.3"
"Sleepy Hollow",575,"3,378","17.0"
"East Dundee",491,"2,909","16.9"
"Grayslake","3,515","20,847","16.9"
"Wayne",490,"2,938","16.7"
"Wauconda","2,144","12,998","16.5"
"Winfield","1,483","9,012","16.5"
"Island Lake","1,291","8,173","15.8"
"Libertyville","3,205","20,461","15.7"
"Huntley","3,531","22,676","15.6"
"West Dundee","1,104","7,208","15.3"
"Gilberts",952,"6,303","15.1"
"Itasca","1,258","8,375","15.0"
"Algonquin","4,464","29,731","15.0"
"Oak Brook","1,183","7,888","15.0"
"Geneva","3,221","21,550","14.9"
"Lakemoor",893,"6,078","14.7"
"Batavia","3,738","25,828","14.5"
"Round Lake","2,437","17,054","14.3"
"Gurnee","4,334","31,192","13.9"
"Oakbrook Terrace",292,"2,118","13.8"
"Bloomingdale","2,936","21,952","13.4"
"Downers Grove","6,397","47,899","13.4"
"Hawthorn Woods","1,005","7,528","13.4"
"Glen Ellyn","3,642","27,610","13.2"
"South Elgin","2,808","21,600","13.0"
"Lombard","5,588","43,031","13.0"
"Lindenhurst","1,856","14,318","13.0"
"Villa Park","2,887","22,374","12.9"
"North Aurora","2,069","16,040","12.9"
"Warrenville","1,684","13,159","12.8"
"Lake in the Hills","3,678","28,784","12.8"
"Lisle","2,843","22,342","12.7"
"Lake Zurich","2,481","19,617","12.6"
"Roselle","2,861","22,753","12.6"
"Indian Creek",64,511,"12.5"
"South Barrington",575,"4,670","12.3"
"Wood Dale","1,673","13,718","12.2"
"West Chicago","3,233","26,663","12.1"
"Mettawa",72,596,"12.1"
"Kildeer",469,"3,933","11.9"
"Fox Lake","1,283","10,830","11.8"
"Barrington Hills",450,"3,847","11.7"
"Deer Park",375,"3,225","11.6"
"Des Plaines","6,631","57,909","11.5"
"Hainesville",392,"3,447","11.4"
"Bartlett","4,615","40,583","11.4"
"Average","2,876","25,487","11.3"
"Long Grove",892,"7,958","11.2"
"Elgin","11,747","108,681","10.8"
"Inverness",801,"7,417","10.8"
"Wheaton","5,724","53,082","10.8"
"Mundelein","3,380","31,555","10.7"
"Naperville","14,734","141,401","10.4"
"Elk Grove Village","3,431","33,080","10.4"
"Elmhurst","4,553","43,934","10.4"
"Port Barrington",173,"1,675","10.3"
"Rosemont",372,"3,638","10.2"
"North Barrington",333,"3,262","10.2"
"Lake Barrington",489,"4,852","10.1"
"Carol Stream","3,973","39,729","10.0"
"Schaumburg","7,220","73,771","9.8"
"Woodridge","3,142","32,699","9.6"
"Streamwood","3,824","39,816","9.6"
"Palatine","6,367","67,887","9.4"
"Arlington Heights","6,908","75,094","9.2"
"Addison","3,367","36,810","9.1"
"Bensenville","1,654","18,537","8.9"
"Rolling Meadows","2,055","23,391","8.8"
"Bolingbrook","6,381","73,223","8.7"
"Third Lake",118,"1,367","8.6"
"Hoffman Estates","4,423","51,608","8.6"
"Carpentersville","3,091","37,480","8.2"
"Green Oaks",318,"3,867","8.2"
"Mount Prospect","4,422","53,980","8.2"
"Lincolnshire",558,"7,192","7.8"
"Prospect Heights","1,236","16,258","7.6"
"Tower Lakes",112,"1,494","7.5"
"Round Lake Heights",196,"2,673","7.3"
"Buffalo Grove","3,055","41,735","7.3"
"Vernon Hills","1,804","24,710","7.3"
"Hanover Park","2,744","37,847","7.3"
"Aurora","13,643","194,053","7.0"
"Glendale Heights","2,358","33,898","7.0"
"Round Lake Beach","1,819","28,099","6.5"
"Wheeling","2,409","37,257","6.5"
"Waukegan","5,453","89,345","6.1"
"Round Lake Park",314,"7,362","4.3"
"Campton Hills",75,"10,920","0.7"
