CensusTract,County,POP2010,OHU2010,lapophalf,lapophalfshare,lahunvhalf,lahunvhalfshare,lakidshalf,lakidshalfshare,lalowihalf,lalowihalfshare,laseniorshalf,laseniorshalfshare,LILATracts_1And10
17031420100,Cook,"1,441",713,"1,441.00",100.0%,370.55,52.0%,412.00,100.0%,985.05,68.4%,239.00,100.0%,0
17031821500,Cook,"2,341",704,"2,341.00",100.0%,156.44,22.2%,923.00,100.0%,"1,334.66",57.0%,105.00,100.0%,1
17031827000,Cook,"3,624","1,188","3,624.00",100.0%,291.57,24.5%,"1,111.00",100.0%,"1,691.06",46.7%,350.00,100.0%,1
17031830300,Cook,"4,748","2,247","4,748.00",100.0%,361.28,16.1%,"1,119.00",100.0%,"1,948.59",41.0%,818.00,100.0%,1
17031680500,Cook,"1,481",467,"1,481.00",100.0%,251.26,53.8%,404.00,100.0%,926.81,62.6%,165.00,100.0%,1
17031670900,Cook,"1,351",469,"1,351.00",100.0%,185.49,39.5%,359.00,100.0%,850.15,62.9%,178.00,100.0%,0
17097862000,Lake,"5,844","1,662","5,844.00",100.0%,121.72,7.3%,"1,865.00",100.0%,"2,833.32",48.5%,419.00,100.0%,1
17031670600,Cook,"1,650",458,"1,650.00",100.0%,143.53,31.3%,468.00,100.0%,"1,038.48",62.9%,190.00,100.0%,0
17031823603,Cook,"2,702",709,"2,702.00",100.0%,154.13,21.7%,980.00,100.0%,"1,791.31",66.3%,216.00,100.0%,1
17031834700,Cook,"2,078",635,"2,078.00",100.0%,315.36,49.7%,637.00,100.0%,"1,160.31",55.8%,232.00,100.0%,0
17031460700,Cook,"3,314","1,001","3,314.00",100.0%,323.48,32.3%,"1,326.00",100.0%,"2,776.60",83.8%,177.00,100.0%,0
17031282700,Cook,"2,349",893,"2,349.00",100.0%,131.63,14.7%,585.00,100.0%,"1,152.27",49.1%,107.00,100.0%,0
17031491400,Cook,"2,931","1,085","2,931.00",100.0%,311.61,28.7%,851.00,100.0%,"1,444.01",49.3%,279.00,100.0%,1
17031839200,Cook,"2,545","1,494","2,545.00",100.0%,514.47,34.4%,363.00,100.0%,815.80,32.1%,390.00,100.0%,0
17031829700,Cook,"4,349","1,256","4,349.00",100.0%,144.97,11.5%,"1,392.00",100.0%,"2,051.67",47.2%,498.00,100.0%,1
17031826700,Cook,"5,569","1,972","5,569.00",100.0%,402.34,20.4%,"1,703.00",100.0%,"2,480.81",44.5%,369.00,100.0%,0
17031431400,Cook,"6,418","3,280","6,418.00",100.0%,"1,207.92",36.8%,"1,105.00",100.0%,"3,416.26",53.2%,927.00,100.0%,0
17031350400,Cook,389,150,389.00,100.0%,125.94,84.0%,132.00,100.0%,353.57,90.9%,25.00,100.0%,0
17031827100,Cook,"2,716",873,"2,716.00",100.0%,160.52,18.4%,821.00,100.0%,"1,290.50",47.5%,258.00,100.0%,1
17031251700,Cook,"1,495",411,"1,495.00",100.0%,114.86,27.9%,463.00,100.0%,981.93,65.7%,138.00,100.0%,0
17031837800,Cook,"2,796",973,"2,796.00",100.0%,259.88,26.7%,757.00,100.0%,"1,247.24",44.6%,112.00,100.0%,0
17031500300,Cook,"1,666",780,"1,666.00",100.0%,163.73,21.0%,360.00,100.0%,615.57,36.9%,176.00,100.0%,1
17031670800,Cook,"1,635",535,"1,635.00",100.0%,174.50,32.6%,486.00,100.0%,831.55,50.9%,210.00,100.0%,0
17031340300,Cook,"1,786",686,"1,786.00",100.0%,226.70,33.0%,311.00,100.0%,724.64,40.6%,341.00,100.0%,0
17031670400,Cook,"1,956",554,"1,956.00",100.0%,180.61,32.6%,599.00,100.0%,"1,568.33",80.2%,187.00,100.0%,0
17031420200,Cook,"1,723",670,"1,723.00",100.0%,275.13,41.1%,362.00,100.0%,816.29,47.4%,134.00,100.0%,0
17031612100,Cook,"1,470",490,"1,470.00",100.0%,136.11,27.8%,481.00,100.0%,677.96,46.1%,210.00,100.0%,0
17097862402,Lake,"3,341",866,"3,341.00",100.0%,153.75,17.8%,"1,152.00",100.0%,"2,038.01",61.0%,154.00,100.0%,1
17097862200,Lake,"4,103","1,234","4,103.00",100.0%,269.64,21.9%,"1,002.00",100.0%,"1,823.91",44.5%,215.00,100.0%,1
17031490901,Cook,"3,891","1,535","3,891.00",100.0%,355.41,23.2%,966.00,100.0%,"2,538.74",65.2%,552.00,100.0%,0
17031251500,Cook,"4,784","1,391","4,784.00",100.0%,572.05,41.1%,"1,393.00",100.0%,"2,962.39",61.9%,459.00,100.0%,0
17031440900,Cook,"2,610",998,"2,610.00",100.0%,221.67,22.2%,701.00,100.0%,993.39,38.1%,401.00,100.0%,1
17097862401,Lake,"3,766","1,252","3,766.00",100.0%,300.80,24.0%,"1,147.00",100.0%,"2,282.14",60.6%,311.00,100.0%,1
17111870302,McHenry,"4,477","1,464","4,477.00",100.0%,162.85,11.1%,"1,375.00",100.0%,"2,187.62",48.9%,414.00,100.0%,1
17031460600,Cook,"1,183",371,"1,183.00",100.0%,155.13,41.8%,363.00,100.0%,716.57,60.6%,115.00,100.0%,0
17031670700,Cook,"1,491",406,"1,491.00",100.0%,176.48,43.5%,495.00,100.0%,"1,163.99",78.1%,163.00,100.0%,0
