ZipCode,FY11Total,FY13Total,Chge11num,PChg2011,Chg2011,PChg2011
62086,$545 ,$0 ,-545,-100,-$545.00,-100.00%
60001,"$1,325 ",$0 ,-1325,-100,"-$1,325.00",-100.00%
61845,"$9,282 ",$0 ,-9282,-100,"-$9,282.00",-100.00%
61516,"$11,570 ",$0 ,-11570,-100,"-$11,570.00",-100.00%
62378,"$12,061 ",$0 ,-12061,-100,"-$12,061.00",-100.00%
60147,"$29,939 ",$0 ,-29939,-100,"-$29,939.00",-100.00%
61001,"$89,702 ",$0 ,-89702,-100,"-$89,702.00",-100.00%
62097,"$104,826 ",$0 ,-104826,-100,"-$104,826.00",-100.00%
62915,"$81,723 ","$7,259 ",-74464,-91.1,"-$74,464.00",-91.10%
61862,"$43,035 ","$8,163 ",-34872,-81,"-$34,872.00",-81.00%
62058,"$209,028 ","$45,594 ",-163434,-78.2,"-$163,434.00",-78.20%
62018,"$392,546 ","$230,560 ",-161986,-41.3,"-$161,986.00",-41.30%
60422,"$807,298 ","$509,165 ",-298133,-36.9,"-$298,133.00",-36.90%
61450,"$195,508 ","$126,121 ",-69387,-35.5,"-$69,387.00",-35.50%
62204,"$1,404,217 ","$917,681 ",-486536,-34.6,"-$486,536.00",-34.60%
61929,"$102,432 ","$70,235 ",-32197,-31.4,"-$32,197.00",-31.40%
61368,"$133,805 ","$92,432 ",-41373,-30.9,"-$41,373.00",-30.90%
62942,"$113,103 ","$79,576 ",-33527,-29.6,"-$33,527.00",-29.60%
61284,"$60,374 ","$43,748 ",-16626,-27.5,"-$16,626.00",-27.50%
61030,"$320,753 ","$232,579 ",-88174,-27.5,"-$88,174.00",-27.50%
62979,"$305,428 ","$227,693 ",-77735,-25.5,"-$77,735.00",-25.50%
62284,"$143,052 ","$110,045 ",-33007,-23.1,"-$33,007.00",-23.10%
60959,"$159,301 ","$124,572 ",-34729,-21.8,"-$34,729.00",-21.80%
61480,"$93,202 ","$73,789 ",-19413,-20.8,"-$19,413.00",-20.80%
60966,"$254,352 ","$207,834 ",-46518,-18.3,"-$46,518.00",-18.30%
62282,"$232,647 ","$191,208 ",-41439,-17.8,"-$41,439.00",-17.80%
60203,"$1,101,939 ","$926,247 ",-175692,-15.9,"-$175,692.00",-15.90%
61047,"$123,099 ","$104,830 ",-18269,-14.8,"-$18,269.00",-14.80%
62060,"$2,455,491 ","$2,112,159 ",-343332,-14,"-$343,332.00",-14.00%
62201,"$5,682,633 ","$5,029,741 ",-652892,-11.5,"-$652,892.00",-11.50%
62093,"$101,534 ","$90,171 ",-11363,-11.2,"-$11,363.00",-11.20%
61016,"$1,608,266 ","$1,432,752 ",-175514,-10.9,"-$175,514.00",-10.90%
62960,"$1,292,058 ","$1,159,421 ",-132637,-10.3,"-$132,637.00",-10.30%
62292,"$153,360 ","$138,816 ",-14544,-9.5,"-$14,544.00",-9.50%
61865,"$196,971 ","$178,791 ",-18180,-9.2,"-$18,180.00",-9.20%
62611,"$112,430 ","$102,317 ",-10113,-9,"-$10,113.00",-9.00%
61843,"$434,248 ","$395,028 ",-39220,-9,"-$39,220.00",-9.00%
62264,"$332,370 ","$307,639 ",-24731,-7.4,"-$24,731.00",-7.40%
62995,"$585,792 ","$546,714 ",-39078,-6.7,"-$39,078.00",-6.70%
60615,"$7,593,245 ","$7,101,474 ",-491771,-6.5,"-$491,771.00",-6.50%
61260,"$129,669 ","$121,760 ",-7909,-6.1,"-$7,909.00",-6.10%
60636,"$17,176,754 ","$16,172,310 ",-1004444,-5.8,"-$1,004,444.00",-5.80%
60651,"$21,601,586 ","$20,494,603 ",-1106983,-5.1,"-$1,106,983.00",-5.10%
60948,"$252,758 ","$242,251 ",-10507,-4.2,"-$10,507.00",-4.20%
62442,"$160,114 ","$153,540 ",-6574,-4.1,"-$6,574.00",-4.10%
62988,"$160,345 ","$154,514 ",-5831,-3.6,"-$5,831.00",-3.60%
60624,"$11,605,334 ","$11,192,213 ",-413121,-3.6,"-$413,121.00",-3.60%
60653,"$7,051,836 ","$6,814,081 ",-237755,-3.4,"-$237,755.00",-3.40%
