RCDTS,District Name/ School Name,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
431020690022001,Germantown Hills Middle School,Germantown Hills,10.00,81.6,,,40.768857,-89.450256
190222040261006,Scullen Middle School,Naperville,10.10,82.2,,,41.696577,-88.211854
450670040260001,Columbia High School,Columbia,10.10,,61.4,21.2,38.44962,-90.21597
050160540042027,Herbert Hoover Elem  School,Schaumburg,10.20,87.5,,,42.033052916,-88.119044963
56099033C042007,William J Butler School,Lockport,10.20,71,,,41.581545,-88.025733
530907020261001,Tremont Middle School,Tremont,10.30,77.9,,,40.52807,-89.495794
310451010222003,Alice Gustafson Elem School,Batavia,10.30,76.4,,,41.837821,-88.321629
150162990252183,Edgebrook Elem School,Chicago,10.40,87,,,41.999296,-87.761745
530907020262003,Tremont Elem School,Tremont,10.60,86,,,40.526081,-89.48976
050160640042005,Franklin Elementary School,Park Ridge,10.60,85,,,42.032171,-87.856903
310453020262007,Kaneland John Shields Elem Sch,Sugar Grove,10.60,72.5,,,41.762129,-88.443805
240471150260001,Yorkville High School,Yorkville,10.60,,52,20.5,41.651827,-88.451224
050160540042015,Nathan Hale Elem School,Schaumburg,10.70,80,,,42.004193,-88.112263
340491270160002,Grayslake North High School,Grayslake,10.70,,66.4,21.9,42.321291,-88.015191
480723230262004,Banner Elementary School,Dunlap,10.80,87.2,,,40.841378,-89.62904
100110040262001,Edinburg Elem School,Edinburg,10.80,62,,,39.659621,-89.389652
050162140170005,Prospect High School,Mt Prospect,10.80,,81.1,24.3,42.080714971,-87.94649609
060161020022003,Forest Road Elem School,La Grange Park,10.90,76.3,,,41.830819,-87.86789
51084003A260001,Rochester High School,Rochester,10.90,,72.1,22.2,39.751431,-89.537869
190222030262013,Steeple Run Elem School,Naperville,11.00,82.6,,,41.782008,-88.105077
190220580022004,Highland Elem School,Downers Grove,11.00,82.3,,,41.81538,-88.010039
560992020221004,Heritage Grove Middle School,Plainfield,11.00,81.2,,,41.656588,-88.21225
450670050262005,Gardner Elementary School,Waterloo,11.00,78.8,,,38.3108654,-90.152231918
190222030262018,Kingsley Elementary School,Naperville,11.00,78.4,,,41.720912,-88.136634
190220130022002,Dujardin Elementary School,Bloomingdale,11.00,78.2,,,41.951872,-88.065038
340491280160004,Vernon Hills High School,Vernon Hills,11.00,,82.2,24.7,42.228131,-87.951439
340491020042003,Tripp School,Buffalo Grove,11.10,84,,,42.168189,-87.95454
190222040262025,Owen Elementary School,Naperville,11.10,80.8,,,41.741605,-88.153554
310453030262008,Wasco Elem School,Wasco,11.10,77.3,,,41.93707,-88.403261
310453010261002,Prairie Knolls Middle Sch,Elgin,11.20,77.5,,,42.0116,-88.3886
050160570021004,Lincoln Middle School,Mt Prospect,11.30,79,,,42.059339901,-87.946486354
190220660022004,Prairieview Elementary School,Downers Grove,11.30,76.9,,,41.739143,-87.998251
050160740022003,Rutledge Hall Elem School,Lincolnwood,11.30,75.9,,,42.005605,-87.726677
170640030260002,Tri-Valley High School,Downs,11.30,,72.2,23.9,40.396347,-88.866856
190220580022007,Kingsley Elem School,Downers Grove,11.40,75.1,,,41.769523,-88.01647
510840150261001,Williamsville Jr High School,Williamsville,11.40,71.3,,,39.949741,-89.549772
240471150262004,Bristol Grade School,Bristol,11.50,67.6,,,41.689304,-88.429318
070162300130001,Carl Sandburg High School,Orland Park,11.50,,69.2,22.8,41.648596,-87.854047
310451010221002,Sam Rotolo Middle Sch,Batavia,11.60,76.3,,,41.865201259,-88.293565489
56099033C041001,Homer Jr High School,Homer Glen,11.60,73.9,,,41.603706,-87.927649
07016113A021002,Old Quarry Middle Sch,Lemont,11.60,73.3,,,41.656389,-88.010562
500821130021001,Wolf Branch Middle School,Swansea,11.60,71.8,,,38.554861,-89.994705
160194290260003,Hinckley-Big Rock High School,Hinckley,11.60,,70.7,21.3,41.769338,-88.631422
440631570160001,Richmond-Burton High School,Richmond,11.60,,61.6,22,42.449477,-88.305851
