RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
240322010042002,Minooka Intermediate School,Minooka,30.00,73,,,41.448104,-88.257778
330482080260001,R O W V A Sr High School,Oneida,30.00,,59.8,21.8,41.075243,-90.218638
160194250261001,Indian Creek Middle School,Waterman,30.10,78,,,41.762964,-88.773802
310453000261004,Algonquin Middle School,Algonquin,30.10,65.7,,,42.161903,-88.281922
220290970262003,Lewistown Elementary School,Lewistown,30.10,64.4,,,40.38564,-90.14391
56099209U260001,Wilmington High School,Wilmington,30.10,,55.1,19.9,41.303278,-88.13479
050160590042008,Forest View Elem School,Mt Prospect,30.20,76.1,,,42.054800292,-87.966972053
340490750022003,Mechanics Grove Elem School,Mundelein,30.20,65.5,,,42.282999,-88.01893
070161530021003,James Hart School,Homewood,30.20,63.1,,,41.559177,-87.641421
090100010260001,Fisher Jr/Sr High School,Fisher,30.20,54.1,60,20.5,40.310076,-88.35505
110213020260001,Villa Grove High School,Villa Grove,30.20,,63,20.2,39.868899,-88.16047
070161230022010,Sward Elem School,Oak Lawn,30.30,80.2,,,41.713896,-87.744709
190222010262001,J T Manning Elem School,Westmont,30.30,77.8,,,41.799728,-87.974101
170532320022001,Dwight Common School,Dwight,30.30,70.7,,,41.085988,-88.429748
160194270261002,Sycamore Middle School,Sycamore,30.30,63.8,,,42.002445,-88.677259
240320730170001,Gardner-South Wilmington Twp H S,Gardner,30.30,,36.4,19.4,41.185216,-88.30219
150162990252856,Lenart Regional Gifted Ctr ES,Chicago,30.40,97.1,,,41.745979,-87.627644
150162990252855,South Loop Elem School,Chicago,30.40,78.6,,,41.867021,-87.628525
050160670021002,Golf Middle School,Morton Grove,30.40,77.8,,,42.05194,-87.799368
56099365U262014,Pioneer Elementary School,Bolingbrook,30.40,72.7,,,41.686197,-88.135165
56099200U261001,Beecher Junior High School,Beecher,30.40,65.3,,,41.355337,-87.609066
470712210260004,Forreston Jr/Sr High Sch,Forreston,30.40,59.9,70.4,18.8,42.127652,-89.573993
080892020260001,Lena-Winslow High School,Lena,30.40,,68.5,20.4,42.378284,-89.814835
060160800022001,J Giles Elem School,Norridge,30.50,72.8,,,41.957037,-87.81695
56099207U262003,Peotone Elem School,Peotone,30.50,70.5,,,41.336854,-87.796426
490812000262006,Sherrard Elementary School,Sherrard,30.50,66.3,,,41.321337,-90.501386
