DistID,DistName,totalDisb,totalPSA,difference,sign,geoname,GEOID
0501605400400,SCHAUMBURG C C SCHOOL DIST 54,"$15,791,492.85","$3,490,452.85","-$12,301,040.00",m,Schaumburg Community Consolidated School District 54,1734740
1902220302600,NAPERVILLE C U DIST 203,"$12,437,889.13","$2,852,824.39","-$9,585,064.74",m,Naperville Community Unit District 203,1727710
0501601500400,PALATINE C C SCHOOL DIST 15,"$15,556,743.64","$6,530,948.00","-$9,025,795.64",m,Palatine Community Consolidated School District 15,1730420
0501621101700,TOWNSHIP H S DIST 211,"$10,296,285.52","$2,059,200.14","-$8,237,085.38",m,Township High School District 211,1730450
0501621401700,TOWNSHIP HIGH SCHOOL DIST 214,"$9,645,050.01","$1,982,734.07","-$7,662,315.94",m,Township High School District 214,1704170
1902220002600,COMMUNITY UNIT SCHOOL DIST 200,"$11,962,352.74","$4,410,418.48","-$7,551,934.26",m,Community Unit School District 200,1742180
3104530302600,ST CHARLES C U SCHOOL DIST 303,"$9,727,118.94","$2,176,868.73","-$7,550,250.21",m,St. Charles Community Unit School District 303,1737170
0501606500400,EVANSTON C C SCHOOL DIST 65,"$7,755,053.94","$1,174,216.23","-$6,580,837.71",m,Evanston Community Consolidated School District 65,1714460
0501605900400,COMM CONS SCH DIST 59,"$9,043,510.74","$3,068,530.74","-$5,974,980.00",m,Community Consolidated School District 59,1713770
0501602100400,WHEELING C C SCHOOL DIST 21,"$10,545,145.97","$4,655,095.97","-$5,890,050.00",m,Wheeling Community Consolidated School District 21,1742210
0601609700200,OAK PARK ELEM SCHOOL DIST 97,"$11,065,274.17","$5,539,184.17","-$5,526,090.00",m,Oak Park Elementary School District 97,1729250
1902208701700,GLENBARD TWP H S DIST 87,"$6,835,196.85","$1,400,645.68","-$5,434,551.17",m,Glenbard Township High School District 87,1716830
3404922002600,BARRINGTON C U SCHOOL DIST 220,"$6,600,240.03","$1,457,434.67","-$5,142,805.36",m,Barrington Community Unit School District 220,1705050
1902220502600,ELMHURST SCHOOL DIST 205,"$5,994,254.13","$1,338,307.50","-$4,655,946.63",m,Elmhurst School District 205,1713970
0701613500200,ORLAND SCHOOL DISTRICT 135,"$5,430,528.40","$818,823.74","-$4,611,704.66",m,Orland School District 135,1730220
3104530402600,GENEVA COMM UNIT SCH DIST 304,"$5,229,610.56","$962,153.86","-$4,267,456.70",m,Geneva Community Unit School District 304,1716380
0501620701700,MAINE TOWNSHIP H S DIST 207,"$5,276,133.51","$1,145,335.03","-$4,130,798.48",m,Maine Township High School District 207,1724090
1902208801600,DU PAGE HIGH SCHOOL DIST 88,"$4,525,976.77","$802,076.77","-$3,723,900.00",m,DuPage High School District 88,1713940
1902209300400,COMMUNITY CONSOLIDATED S D 93,"$4,233,312.22","$633,882.22","-$3,599,430.00",m,Community Consolidated School District 93,1710470
0501621901700,NILES TWP COMM HIGH SCH DIST 219,"$4,414,047.36","$832,239.17","-$3,581,808.19",m,Niles Township Community High School District 219,1728530
0501603400400,GLENVIEW C C SCHOOL DIST 34,"$4,292,407.07","$766,414.02","-$3,525,993.05",m,Glenview Community Consolidated School District 34,1716920
56099033C0400,HOMER COMM CONS SCH DIST 33C,"$4,159,856.70","$774,246.70","-$3,385,610.00",m,Homer Community Consolidated School District 33C,1719500
0501602500200,ARLINGTON HEIGHTS SCH DIST 25,"$4,217,222.17","$851,233.34","-$3,365,988.83",m,Arlington Heights School District 25,1704140
