geoID2,medianIncome,This
170898501011,48406,This
170898501012,88983,This
170898501031,103750,This
170898501032,87361,This
170898501051,124190,This
170898501052,103861,This
170898501061,44450,This
170898501062,46856,This
170898501063,148220,This
170898501064,81757,This
170898502011,52670,This
170898502012,64583,This
170898502021,45500,This
170898502022,45833,This
170898502023,39250,This
170898503011,7939,This
170898503012,51143,This
170898503013,70000,This
170898503014,48194,This
170898503021,31384,This
170898503022,69267,This
170898504001,71042,This
170898504002,41417,This
170898505001,74063,This
170898505002,59028,This
170898505003,91691,This
170898505004,56382,This
170898506001,69728,This
170898506002,112530,This
170898506003,80847,This
170898507011,117340,This
170898507012,93500,This
170898507013,133393,This
170898507014,82872,This
170898507021,61237,This
170898507022,82432,This
170898507023,67458,This
170898507024,103542,This
170898507031,81991,This
170898507032,73438,This
170898508001,36250,This
170898508002,97434,This
170898508003,62679,This
170898508004,60022,This
170898508005,46786,This
170898508006,51875,This
170898510001,62659,This
170898510002,50052,This
170898510003,42841,This
170898511011,71302,This
170898511012,46023,This
170898511013,46976,This
170898511014,67689,This
170898511015,63281,This
170898511021,26923,This
170898511022,31932,This
170898511023,71645,This
170898513011,27281,This
170898513012,44635,This
170898513013,43333,This
170898513021,46012,This
170898513022,47422,This
170898513023,44038,This
170898513024,29205,This
170898514001,43949,This
170898514002,61310,This
170898514003,49015,This
170898514004,45329,This
170898514005,47786,This
170898514006,47589,This
170898515001,36875,This
170898516001,22987,This
170898516002,49628,This
170898516003,21536,This
170898516004,52455,This
170898516005,75983,This
170898518011,86750,This
170898518012,69492,This
170898518013,86534,This
170898518014,75673,This
170898519041,29105,This
170898519042,30000,This
170898519043,66250,This
170898519044,110994,This
170898519051,95775,This
170898519052,91231,This
170898519071,77917,This
170898519072,68750,This
170898519073,83190,This
170898519081,57143,This
170898519082,59904,This
170898519083,69189,This
170898519091,62589,This
170898519092,63750,This
170898519093,74107,This
170898519101,80156,This
170898519102,86042,This
170898519103,39866,This
170898520011,53611,This
170898520012,211250,This
170898520013,65464,This
170898520014,79559,This
170898520021,74695,This
170898520022,78064,This
170898520023,85333,This
170898520024,72565,This
170898520031,138333,This
170898520032,103724,This
170898520033,154138,This
170898521011,98490,This
170898521012,144025,This
170898521021,67974,This
170898521022,114805,This
170898521023,108795,This
170898521024,123365,This
170898521025,178917,This
170898522011,75469,This
170898522012,80227,This
170898522013,80521,This
170898522014,110550,This
170898522021,57031,This
170898522022,50297,This
170898522023,83553,This
170898523001,46964,This
170898523002,55968,This
170898524011,131667,This
170898524012,104958,This
170898524013,49583,This
170898524014,117266,This
170898524021,131250,This
170898524022,115463,This
170898524023,75341,This
170898524031,70852,This
170898524032,50208,This
170898524033,74191,This
170898524034,87375,This
170898524035,61250,This
170898525001,95223,This
170898525002,77132,This
170898525003,54596,This
170898525004,109091,This
170898525005,50673,This
170898526011,52196,This
170898526012,84946,This
170898526013,127974,This
170898526014,86500,This
170898526015,65327,This
170898526061,97708,This
170898526062,155132,This
170898527001,42212,This
170898527002,92115,This
170898527003,59118,This
170898527004,56333,This
170898527005,91786,This
170898527006,92992,This
170898528031,101886,This
170898528032,36328,This
170898528051,136429,This
170898528052,49667,This
170898528053,75357,This
170898528061,130054,This
170898528062,158988,This
170898528063,118947,This
170898528071,136250,This
170898528081,90912,This
170898528082,96818,This
170898528083,103438,This
170898528084,49018,This
170898529031,86397,This
170898529032,46893,This
170898529041,39194,This
170898529051,30404,This
170898529052,48942,This
170898529053,23611,This
170898529061,35225,This
170898529062,63750,This
170898529063,76759,This
170898529071,34015,This
170898529072,21111,This
170898529073,36583,This
170898530011,68071,This
170898530041,66467,This
170898530042,67880,This
170898530043,36250,This
170898530051,84444,This
170898530052,36172,This
170898530053,52202,This
170898530061,84097,This
170898530062,29519,This
170898530063,54057,This
170898530071,53000,This
170898530072,47288,This
170898530073,31448,This
170898530081,60377,This
170898530082,55054,This
170898531001,46500,This
170898531002,47418,This
170898532001,25662,This
170898532002,55536,This
170898532003,53291,This
170898533001,40000,This
170898533002,44444,This
170898533003,41681,This
170898534001,42734,This
170898534002,51827,This
170898534003,46968,This
170898534004,37708,This
170898534005,64018,This
170898534006,35500,This
170898535001,38125,This
170898535002,58550,This
170898535003,40833,This
170898535004,30417,This
170898536001,52594,This
170898536002,48077,This
170898536003,39131,This
170898536004,35083,This
170898539001,52930,This
170898539002,66777,This
170898539003,70741,This
170898539004,82159,This
170898539005,79620,This
170898540011,89500,This
170898540012,76586,This
170898540013,34205,This
170898540021,33821,This
170898540022,21667,This
170898540023,61713,This
170898540024,50362,This
170898540025,53814,This
170898541001,45938,This
170898541002,51481,This
170898541003,56319,This
170898541004,37083,This
170898542001,27330,This
170898542002,43462,This
170898542003,52153,This
170898542004,64583,This
170898543011,50440,This
170898543012,46350,This
170898543013,53100,This
170898543014,40668,This
170898543021,39875,This
170898543022,37083,This
170898543023,52645,This
170898544001,39604,This
170898544002,46417,This
170898544003,34883,This
170898544004,60659,This
170898544005,42500,This
170898544006,14750,This
170898545011,80875,This
170898545012,106979,This
170898545013,115349,This
170898545014,130853,This
170898545031,78211,This
170898545032,81083,This
170898545033,114545,This
170898545034,93065,This
170898545041,126712,This
170898545042,117961,This
170898546001,38964,This
170898546002,38189,This
170898546003,58012,This
170898547001,34375,This
170898547002,26375,This
170898547003,31250,This
170898548001,115469,This
170898548002,117153,This
170898548003,106000,This
170898549001,-,This
170898549002,72566,This
170898549003,55404,This
170898549004,62851,This
