Id,Id2,Total,White,Black,Asian,AmIndian,NatHaw,Other,TwoOrMore,TwoOrMorePlus,TwoOrMoreOther
1500000US170310101001,170310101001,421,211,191,0,0,0,0,19,19,0
1500000US170310101002,170310101002,1525,354,1085,2,0,0,33,51,0,51
1500000US170310101003,170310101003,2243,1508,411,160,0,0,60,104,0,104
1500000US170310102011,170310102011,1716,971,633,62,0,0,17,33,23,10
1500000US170310102012,170310102012,4592,1848,2562,66,0,0,14,102,15,87
1500000US170310102013,170310102013,775,379,350,20,16,0,10,0,0,0
1500000US170310102021,170310102021,1427,625,348,239,6,18,135,56,23,33
1500000US170310102022,170310102022,1075,474,491,9,0,0,73,28,17,11
1500000US170310103001,170310103001,998,662,190,21,0,0,120,5,0,5
1500000US170310103002,170310103002,2200,1179,867,117,0,0,4,33,0,33
1500000US170310103003,170310103003,1316,918,357,31,5,0,5,0,0,0
1500000US170310103004,170310103004,1699,670,392,572,0,0,19,46,20,26
1500000US170310104001,170310104001,1632,1143,356,14,0,0,51,68,27,41
1500000US170310104002,170310104002,858,525,125,168,0,0,0,40,12,28
1500000US170310104003,170310104003,2240,1759,179,213,0,0,42,47,10,37
1500000US170310105011,170310105011,1098,861,169,31,0,0,0,37,0,37
1500000US170310105012,170310105012,1669,644,934,26,0,0,17,48,0,48
1500000US170310105013,170310105013,1064,825,87,43,0,0,0,109,0,109
1500000US170310105021,170310105021,1222,657,246,21,0,0,246,52,24,28
1500000US170310105022,170310105022,2468,1466,349,617,0,0,0,36,0,36
1500000US170310105031,170310105031,1537,1075,134,273,0,0,0,55,39,16
1500000US170310105032,170310105032,691,502,83,53,0,0,12,41,0,41
1500000US170310106001,170310106001,2724,1488,1015,42,0,0,0,179,0,179
1500000US170310106002,170310106002,844,401,404,0,4,0,0,35,0,35
1500000US170310106003,170310106003,1455,1006,282,64,0,0,30,73,0,73
1500000US170310106004,170310106004,1490,1192,209,0,0,0,57,32,0,32
1500000US170310107011,170310107011,2105,1429,295,133,0,0,217,31,0,31
1500000US170310107012,170310107012,1841,1136,360,67,0,0,195,83,0,83
1500000US170310107021,170310107021,1499,881,198,189,0,0,151,80,0,80
1500000US170310107022,170310107022,1492,1054,274,29,0,0,70,65,0,65
1500000US170310107023,170310107023,1184,792,285,26,0,0,0,81,0,81
1500000US170310107024,170310107024,1099,251,320,0,0,0,503,25,0,25
1500000US170310201001,170310201001,2545,1294,491,548,0,0,114,98,0,98
1500000US170310201002,170310201002,1445,503,646,271,0,0,0,25,0,25
1500000US170310202001,170310202001,1370,1238,0,0,0,0,132,0,0,0
1500000US170310202002,170310202002,1460,1111,50,273,0,0,26,0,0,0
1500000US170310202003,170310202003,1689,1525,0,164,0,0,0,0,0,0
1500000US170310202004,170310202004,1736,662,236,733,0,0,0,105,0,105
1500000US170310203011,170310203011,1619,1331,107,158,9,0,0,14,14,0
1500000US170310203012,170310203012,1360,1144,0,203,13,0,0,0,0,0
1500000US170310203013,170310203013,2260,1893,173,137,15,0,10,32,0,32
1500000US170310203021,170310203021,1013,534,63,227,0,0,189,0,0,0
1500000US170310203022,170310203022,1121,643,180,298,0,0,0,0,0,0
1500000US170310203023,170310203023,2517,1862,300,256,0,0,56,43,10,33
1500000US170310204001,170310204001,693,449,93,38,0,0,113,0,0,0
1500000US170310204002,170310204002,1693,1007,327,306,0,0,38,15,0,15
1500000US170310204003,170310204003,1908,1034,333,256,107,0,140,38,18,20
1500000US170310205001,170310205001,2561,1365,536,348,0,6,15,291,32,259
1500000US170310205002,170310205002,573,208,230,60,0,0,29,46,0,46
1500000US170310205003,170310205003,1526,631,386,405,0,0,89,15,0,15
1500000US170310205004,170310205004,1344,410,103,378,0,0,453,0,0,0
1500000US170310206011,170310206011,2177,1474,6,489,7,0,42,159,46,113
1500000US170310206012,170310206012,3127,1950,170,580,40,0,255,132,66,66
1500000US170310206013,170310206013,1393,700,245,432,0,0,0,16,0,16
1500000US170310206021,170310206021,1003,763,61,77,0,0,1,101,0,101
1500000US170310206022,170310206022,1057,125,130,696,0,0,95,11,0,11
1500000US170310206023,170310206023,926,464,123,243,0,0,62,34,34,0
1500000US170310206024,170310206024,1116,672,28,204,0,0,163,49,0,49
1500000US170310207011,170310207011,818,533,10,171,78,0,15,11,11,0
1500000US170310207012,170310207012,1075,711,143,109,6,0,22,84,73,11
1500000US170310207021,170310207021,2372,1596,0,755,0,0,21,0,0,0
1500000US170310207022,170310207022,3078,1563,73,861,0,0,127,454,219,235
1500000US170310207023,170310207023,1870,851,175,840,0,0,4,0,0,0
1500000US170310207024,170310207024,912,715,0,179,18,0,0,0,0,0
1500000US170310208011,170310208011,1470,683,189,0,0,0,564,34,34,0
1500000US170310208012,170310208012,943,718,0,13,0,0,18,194,0,194
1500000US170310208013,170310208013,769,507,32,230,0,0,0,0,0,0
1500000US170310208014,170310208014,1330,771,0,439,0,0,0,120,0,120
1500000US170310208021,170310208021,1480,709,129,642,0,0,0,0,0,0
1500000US170310208022,170310208022,2285,417,71,1374,0,0,337,86,0,86
1500000US170310208023,170310208023,2364,800,391,988,0,0,175,10,0,10
1500000US170310208024,170310208024,1813,1024,0,789,0,0,0,0,0,0
1500000US170310209011,170310209011,2245,735,512,963,0,0,15,20,0,20
1500000US170310209012,170310209012,683,460,80,0,0,0,73,70,0,70
1500000US170310209013,170310209013,2085,1235,442,252,0,0,156,0,0,0
1500000US170310209021,170310209021,2261,1464,383,382,0,0,0,32,0,32
1500000US170310209022,170310209022,1934,1087,398,431,0,0,18,0,0,0
1500000US170310301011,170310301011,993,546,74,91,8,0,274,0,0,0
1500000US170310301012,170310301012,318,243,23,24,0,0,0,28,0,28
1500000US170310301013,170310301013,1143,570,505,13,0,0,28,27,0,27
1500000US170310301014,170310301014,1273,935,144,120,0,0,21,53,0,53
1500000US170310301021,170310301021,994,756,113,89,0,0,36,0,0,0
1500000US170310301022,170310301022,835,577,89,90,26,0,25,28,0,28
1500000US170310301023,170310301023,1127,457,377,168,25,0,18,82,40,42
1500000US170310301031,170310301031,813,513,115,138,0,0,10,37,11,26
1500000US170310301032,170310301032,1425,774,230,249,4,0,160,8,4,4
1500000US170310301041,170310301041,2928,1850,358,527,0,27,88,78,14,64
1500000US170310301042,170310301042,760,123,208,183,0,0,9,237,53,184
1500000US170310302001,170310302001,1366,1028,232,48,0,0,45,13,0,13
1500000US170310302002,170310302002,1045,894,89,33,0,0,0,29,0,29
1500000US170310302003,170310302003,1018,942,0,76,0,0,0,0,0,0
1500000US170310302004,170310302004,1845,1529,161,13,1,0,104,37,0,37
1500000US170310303001,170310303001,1450,834,279,227,0,0,86,24,16,8
1500000US170310303002,170310303002,1599,1160,64,51,80,0,229,15,0,15
1500000US170310304001,170310304001,1536,1173,192,66,0,0,66,39,31,8
1500000US170310304002,170310304002,1147,743,147,93,0,0,114,50,7,43
1500000US170310305001,170310305001,1407,1046,95,222,0,0,0,44,24,20
1500000US170310305002,170310305002,1994,1304,214,186,0,0,235,55,14,41
1500000US170310305003,170310305003,1429,1272,30,57,0,0,33,37,0,37
1500000US170310305004,170310305004,1439,1330,61,48,0,0,0,0,0,0
1500000US170310306011,170310306011,772,486,90,185,0,0,0,11,0,11
1500000US170310306012,170310306012,1035,597,329,69,0,0,0,40,29,11
1500000US170310306013,170310306013,1731,1275,328,92,0,0,30,6,0,6
1500000US170310306031,170310306031,1038,313,395,265,0,0,32,33,0,33
1500000US170310306032,170310306032,1010,535,436,30,0,0,0,9,9,0
1500000US170310306041,170310306041,1102,432,343,270,0,0,15,42,13,29
1500000US170310306042,170310306042,1143,789,132,215,0,0,0,7,0,7
1500000US170310306043,170310306043,716,357,189,162,0,0,0,8,0,8
1500000US170310307011,170310307011,1734,890,366,310,0,0,4,164,0,164
1500000US170310307021,170310307021,849,590,71,188,0,0,0,0,0,0
1500000US170310307022,170310307022,611,547,30,34,0,0,0,0,0,0
1500000US170310307031,170310307031,756,598,74,16,0,0,0,68,25,43
1500000US170310307032,170310307032,544,290,97,98,0,0,0,59,0,59
1500000US170310307033,170310307033,1279,868,190,153,0,0,29,39,0,39
1500000US170310307061,170310307061,2157,1347,192,459,0,0,46,113,0,113
1500000US170310307062,170310307062,1303,738,330,182,0,0,49,4,4,0
1500000US170310308001,170310308001,1191,783,3,161,0,0,0,244,3,241
1500000US170310308002,170310308002,1074,773,96,154,0,0,0,51,0,51
1500000US170310308003,170310308003,840,711,19,24,0,0,42,44,0,44
1500000US170310308004,170310308004,1300,982,27,271,0,0,20,0,0,0
1500000US170310309001,170310309001,374,267,1,100,0,0,0,6,0,6
1500000US170310309002,170310309002,1017,695,76,83,0,0,37,126,14,112
1500000US170310309003,170310309003,1055,650,201,102,6,0,96,0,0,0
1500000US170310309004,170310309004,761,517,0,244,0,0,0,0,0,0
1500000US170310310001,170310310001,1179,848,6,145,0,0,138,42,0,42
1500000US170310310002,170310310002,996,784,142,35,0,0,35,0,0,0
1500000US170310310003,170310310003,1347,1014,0,165,0,0,16,152,0,152
1500000US170310311001,170310311001,1944,1709,1,195,0,0,39,0,0,0
1500000US170310311002,170310311002,777,443,181,48,0,0,10,95,3,92
1500000US170310311003,170310311003,1415,1010,59,49,7,0,276,14,0,14
1500000US170310312001,170310312001,1242,859,173,151,45,0,0,14,14,0
1500000US170310312002,170310312002,1200,467,466,188,11,0,14,54,0,54
1500000US170310312003,170310312003,1055,467,514,52,22,0,0,0,0,0
1500000US170310312004,170310312004,1363,817,448,30,19,21,28,0,0,0
1500000US170310313001,170310313001,1242,863,188,154,0,0,0,37,0,37
1500000US170310313002,170310313002,1305,817,250,110,0,0,0,128,12,116
1500000US170310313003,170310313003,596,112,146,279,13,0,0,46,28,18
1500000US170310313004,170310313004,2427,971,935,505,0,0,0,16,0,16
1500000US170310313005,170310313005,1973,940,355,450,0,0,93,135,0,135
1500000US170310314001,170310314001,1564,1088,226,92,0,0,35,123,17,106
1500000US170310314002,170310314002,832,816,16,0,0,0,0,0,0,0
1500000US170310314003,170310314003,791,598,91,33,0,0,0,69,0,69
1500000US170310314004,170310314004,136,60,58,4,0,0,14,0,0,0
1500000US170310314005,170310314005,1161,760,131,134,0,0,47,89,0,89
1500000US170310314006,170310314006,776,611,90,64,0,0,0,11,0,11
1500000US170310315011,170310315011,844,304,312,205,0,0,11,12,0,12
1500000US170310315012,170310315012,1365,647,325,349,0,0,19,25,0,25
1500000US170310315013,170310315013,1221,498,395,232,0,0,69,27,27,0
1500000US170310315021,170310315021,1559,1087,342,130,0,0,0,0,0,0
1500000US170310315022,170310315022,1112,422,467,76,0,0,56,91,0,91
1500000US170310315023,170310315023,1715,240,1169,59,10,0,39,198,0,198
1500000US170310317001,170310317001,2108,1068,385,156,0,0,405,94,0,94
1500000US170310317002,170310317002,1749,1026,503,204,0,0,0,16,0,16
1500000US170310317003,170310317003,1566,968,502,42,0,0,0,54,0,54
1500000US170310317004,170310317004,1102,887,120,45,0,0,0,50,0,50
1500000US170310318001,170310318001,1717,1482,21,179,18,0,10,7,4,3
1500000US170310319001,170310319001,1211,1093,49,33,0,0,27,9,0,9
1500000US170310319002,170310319002,1144,795,133,67,24,0,116,9,0,9
1500000US170310321001,170310321001,1593,1224,167,151,0,0,4,47,0,47
1500000US170310321002,170310321002,1607,1457,0,150,0,0,0,0,0,0
1500000US170310321003,170310321003,1544,947,301,69,0,0,191,36,0,36
1500000US170310321004,170310321004,1069,637,304,128,0,0,0,0,0,0
1500000US170310321005,170310321005,954,907,6,24,0,0,17,0,0,0
1500000US170310401001,170310401001,1328,1039,52,211,0,0,16,10,0,10
1500000US170310401002,170310401002,1647,1209,157,42,83,0,124,32,0,32
1500000US170310401003,170310401003,1023,940,24,35,0,0,0,24,0,24
1500000US170310402011,170310402011,1022,769,0,0,0,0,182,71,25,46
1500000US170310402012,170310402012,1580,980,39,495,0,0,24,42,0,42
