GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US170310101001,170310101001,"Block Group 1, Census Tract 101, Cook County, Illinois",-,**,-,**,-,**
1500000US170310101002,170310101002,"Block Group 2, Census Tract 101, Cook County, Illinois",17.3,29.6,16.8,27.0,17.5,59.2
1500000US170310101003,170310101003,"Block Group 3, Census Tract 101, Cook County, Illinois",27.1,18.6,18.6,18.6,30.6,19.7
1500000US170310102011,170310102011,"Block Group 1, Census Tract 102.01, Cook County, Illinois",34.1,23.0,33.6,28.1,34.7,24.6
1500000US170310102012,170310102012,"Block Group 2, Census Tract 102.01, Cook County, Illinois",25.3,15.9,30.5,14.1,17.9,20.5
1500000US170310102013,170310102013,"Block Group 3, Census Tract 102.01, Cook County, Illinois",-,**,-,**,-,**
1500000US170310102021,170310102021,"Block Group 1, Census Tract 102.02, Cook County, Illinois",20.7,20.8,20.5,18.0,32.3,27.1
1500000US170310102022,170310102022,"Block Group 2, Census Tract 102.02, Cook County, Illinois",22.8,19.1,25.0,12.8,22.8,31.9
1500000US170310103001,170310103001,"Block Group 1, Census Tract 103, Cook County, Illinois",36.9,23.5,37.0,26.0,30.9,35.0
1500000US170310103002,170310103002,"Block Group 2, Census Tract 103, Cook County, Illinois",29.6,10.4,30.9,9.5,25.7,6.9
1500000US170310103003,170310103003,"Block Group 3, Census Tract 103, Cook County, Illinois",65.9,94.7,36.5,71.1,77.1,101.0
1500000US170310103004,170310103004,"Block Group 4, Census Tract 103, Cook County, Illinois",41.2,2.8,40.0,2.1,-,**
1500000US170310104001,170310104001,"Block Group 1, Census Tract 104, Cook County, Illinois",35.0,9.5,32.5,5.6,38.0,15.2
1500000US170310104002,170310104002,"Block Group 2, Census Tract 104, Cook County, Illinois",22.0,19.1,22.0,16.8,-,**
1500000US170310104003,170310104003,"Block Group 3, Census Tract 104, Cook County, Illinois",19.6,4.4,33.2,23.1,19.1,0.9
1500000US170310105011,170310105011,"Block Group 1, Census Tract 105.01, Cook County, Illinois",46.0,21.6,-,**,46.4,33.2
1500000US170310105012,170310105012,"Block Group 2, Census Tract 105.01, Cook County, Illinois",22.9,11.7,-,**,-,**
1500000US170310105013,170310105013,"Block Group 3, Census Tract 105.01, Cook County, Illinois",-,**,-,**,-,**
1500000US170310105021,170310105021,"Block Group 1, Census Tract 105.02, Cook County, Illinois",24.0,5.7,23.9,3.2,28.7,21.1
1500000US170310105022,170310105022,"Block Group 2, Census Tract 105.02, Cook County, Illinois",21.8,6.2,21.5,0.3,27.0,39.6
1500000US170310105031,170310105031,"Block Group 1, Census Tract 105.03, Cook County, Illinois",37.2,13.2,26.8,15.0,59.4,8.4
1500000US170310105032,170310105032,"Block Group 2, Census Tract 105.03, Cook County, Illinois",-,**,-,**,-,**
1500000US170310106001,170310106001,"Block Group 1, Census Tract 106, Cook County, Illinois",30.5,8.3,30.6,7.5,30.3,15.8
1500000US170310106002,170310106002,"Block Group 2, Census Tract 106, Cook County, Illinois",30.5,43.8,1-,***,30.8,44.7
1500000US170310106003,170310106003,"Block Group 3, Census Tract 106, Cook County, Illinois",30.1,27.0,57.2,33.8,26.8,7.7
1500000US170310106004,170310106004,"Block Group 4, Census Tract 106, Cook County, Illinois",38.2,24.7,38.6,12.2,20.9,23.7
1500000US170310107011,170310107011,"Block Group 1, Census Tract 107.01, Cook County, Illinois",24.2,7.0,18.7,15.3,33.0,23.7
1500000US170310107012,170310107012,"Block Group 2, Census Tract 107.01, Cook County, Illinois",26.7,3.0,28.8,6.1,23.0,16.2
1500000US170310107021,170310107021,"Block Group 1, Census Tract 107.02, Cook County, Illinois",31.2,5.3,32.0,12.7,30.0,5.0
1500000US170310107022,170310107022,"Block Group 2, Census Tract 107.02, Cook County, Illinois",20.8,7.9,20.4,12.3,25.3,9.4
1500000US170310107023,170310107023,"Block Group 3, Census Tract 107.02, Cook County, Illinois",33.0,9.1,33.2,13.5,31.1,12.5
1500000US170310107024,170310107024,"Block Group 4, Census Tract 107.02, Cook County, Illinois",12.5,15.4,12.2,17.1,22.6,18.2
1500000US170310201001,170310201001,"Block Group 1, Census Tract 201, Cook County, Illinois",27.3,2.9,34.6,5.1,22.6,3.2
1500000US170310201002,170310201002,"Block Group 2, Census Tract 201, Cook County, Illinois",63.5,26.6,-,**,81.3,29.6
1500000US170310202001,170310202001,"Block Group 1, Census Tract 202, Cook County, Illinois",3.9,0.1,3.5,0.1,-,**
1500000US170310202002,170310202002,"Block Group 2, Census Tract 202, Cook County, Illinois",27.9,26.9,-,**,-,**
1500000US170310202003,170310202003,"Block Group 3, Census Tract 202, Cook County, Illinois",18.6,0.4,-,**,18.0,7.3
1500000US170310202004,170310202004,"Block Group 4, Census Tract 202, Cook County, Illinois",29.6,40.3,39.7,38.1,-,**
1500000US170310203011,170310203011,"Block Group 1, Census Tract 203.01, Cook County, Illinois",32.8,8.9,32.2,1.1,51.2,3.7
1500000US170310203012,170310203012,"Block Group 2, Census Tract 203.01, Cook County, Illinois",23.7,17.1,-,**,23.6,8.7
1500000US170310203013,170310203013,"Block Group 3, Census Tract 203.01, Cook County, Illinois",50.5,0.3,50.4,0.3,-,**
1500000US170310203021,170310203021,"Block Group 1, Census Tract 203.02, Cook County, Illinois",35.9,20.5,35.3,46.3,45.5,17.9
1500000US170310203022,170310203022,"Block Group 2, Census Tract 203.02, Cook County, Illinois",24.6,5.5,24.2,0.5,48.3,26.2
1500000US170310203023,170310203023,"Block Group 3, Census Tract 203.02, Cook County, Illinois",37.1,8.2,37.4,25.9,36.8,6.5
1500000US170310204001,170310204001,"Block Group 1, Census Tract 204, Cook County, Illinois",43.7,1.7,44.3,25.1,43.5,11.0
1500000US170310204002,170310204002,"Block Group 2, Census Tract 204, Cook County, Illinois",29.6,11.8,28.5,28.2,32.9,19.6
1500000US170310204003,170310204003,"Block Group 3, Census Tract 204, Cook County, Illinois",23.8,9.7,20.9,11.0,27.9,10.5
1500000US170310205001,170310205001,"Block Group 1, Census Tract 205, Cook County, Illinois",29.8,21.1,30.6,27.8,26.5,9.4
1500000US170310205002,170310205002,"Block Group 2, Census Tract 205, Cook County, Illinois",21.8,36.2,-,**,45.3,28.0
1500000US170310205003,170310205003,"Block Group 3, Census Tract 205, Cook County, Illinois",31.6,20.9,20.8,0.6,40.2,16.2
1500000US170310205004,170310205004,"Block Group 4, Census Tract 205, Cook County, Illinois",32.0,8.7,31.9,26.6,32.5,6.8
1500000US170310206011,170310206011,"Block Group 1, Census Tract 206.01, Cook County, Illinois",24.6,4.5,18.7,2.5,27.2,8.5
1500000US170310206012,170310206012,"Block Group 2, Census Tract 206.01, Cook County, Illinois",13.8,17.7,35.4,1.0,12.4,0.6
1500000US170310206013,170310206013,"Block Group 3, Census Tract 206.01, Cook County, Illinois",10.9,5.0,5.9,3.9,19.1,9.8
1500000US170310206021,170310206021,"Block Group 1, Census Tract 206.02, Cook County, Illinois",22.7,18.4,26.6,9.0,6.7,33.7
1500000US170310206022,170310206022,"Block Group 2, Census Tract 206.02, Cook County, Illinois",47.1,46.8,47.3,27.2,36.7,49.1
1500000US170310206023,170310206023,"Block Group 3, Census Tract 206.02, Cook County, Illinois",22.2,2.5,16.0,2.9,26.3,5.4
1500000US170310206024,170310206024,"Block Group 4, Census Tract 206.02, Cook County, Illinois",37.1,7.2,35.9,18.5,42.3,8.6
1500000US170310207011,170310207011,"Block Group 1, Census Tract 207.01, Cook County, Illinois",43.3,10.8,11.2,28.0,49.4,10.5
1500000US170310207012,170310207012,"Block Group 2, Census Tract 207.01, Cook County, Illinois",37.0,16.8,33.6,3.2,53.1,14.3
1500000US170310207021,170310207021,"Block Group 1, Census Tract 207.02, Cook County, Illinois",22.9,5.0,22.5,0.3,31.4,24.8
1500000US170310207022,170310207022,"Block Group 2, Census Tract 207.02, Cook County, Illinois",27.2,31.4,38.1,20.3,10.2,26.0
1500000US170310207023,170310207023,"Block Group 3, Census Tract 207.02, Cook County, Illinois",29.8,0.6,29.7,0.7,-,**
1500000US170310207024,170310207024,"Block Group 4, Census Tract 207.02, Cook County, Illinois",14.8,98.9,8.5,0.2,68.5,44.4
1500000US170310208011,170310208011,"Block Group 1, Census Tract 208.01, Cook County, Illinois",29.6,28.3,37.6,28.9,28.1,24.7
1500000US170310208012,170310208012,"Block Group 2, Census Tract 208.01, Cook County, Illinois",23.8,21.5,24.0,18.2,-,**
1500000US170310208013,170310208013,"Block Group 3, Census Tract 208.01, Cook County, Illinois",25.3,24.5,43.6,7.9,20.5,6.6
1500000US170310208014,170310208014,"Block Group 4, Census Tract 208.01, Cook County, Illinois",39.4,5.3,42.1,54.9,-,**
1500000US170310208021,170310208021,"Block Group 1, Census Tract 208.02, Cook County, Illinois",30.7,0.1,30.0,2.6,34.7,0.1
1500000US170310208022,170310208022,"Block Group 2, Census Tract 208.02, Cook County, Illinois",22.7,7.2,18.6,13.4,44.1,3.9
1500000US170310208023,170310208023,"Block Group 3, Census Tract 208.02, Cook County, Illinois",29.0,17.9,17.9,16.9,29.7,0.2
1500000US170310208024,170310208024,"Block Group 4, Census Tract 208.02, Cook County, Illinois",26.0,52.1,25.8,52.1,49.4,10.6
1500000US170310209011,170310209011,"Block Group 1, Census Tract 209.01, Cook County, Illinois",32.7,9.0,32.9,17.5,32.4,22.7
1500000US170310209012,170310209012,"Block Group 2, Census Tract 209.01, Cook County, Illinois",16.6,6.4,34.1,41.9,16.6,10.7
1500000US170310209013,170310209013,"Block Group 3, Census Tract 209.01, Cook County, Illinois",24.9,16.5,25.6,14.9,12.7,13.6
1500000US170310209021,170310209021,"Block Group 1, Census Tract 209.02, Cook County, Illinois",36.9,28.0,14.7,50.2,66.4,55.0
1500000US170310209022,170310209022,"Block Group 2, Census Tract 209.02, Cook County, Illinois",38.4,43.7,66.6,29.9,31.7,10.5
1500000US170310301011,170310301011,"Block Group 1, Census Tract 301.01, Cook County, Illinois",33.5,13.5,34.5,13.6,33.0,22.9
1500000US170310301012,170310301012,"Block Group 2, Census Tract 301.01, Cook County, Illinois",28.5,5.3,28.4,6.5,-,**
1500000US170310301013,170310301013,"Block Group 3, Census Tract 301.01, Cook County, Illinois",45.3,0.8,11.8,10.5,47.0,7.0
1500000US170310301014,170310301014,"Block Group 4, Census Tract 301.01, Cook County, Illinois",50.5,0.4,50.5,0.4,-,**
1500000US170310301021,170310301021,"Block Group 1, Census Tract 301.02, Cook County, Illinois",32.4,19.8,35.9,78.6,-,**
1500000US170310301022,170310301022,"Block Group 2, Census Tract 301.02, Cook County, Illinois",49.9,29.4,49.8,32.6,-,**
