GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US170310101001,170310101001,"Block Group 1, Census Tract 101, Cook County, Illinois",421,133,211,137,191,111,0,11,0,11,0,11,0,11,19,29,19,29,0,11
1500000US170310101002,170310101002,"Block Group 2, Census Tract 101, Cook County, Illinois",1525,388,354,184,1085,399,0,11,2,5,0,11,33,41,51,60,0,11,51,60
1500000US170310101003,170310101003,"Block Group 3, Census Tract 101, Cook County, Illinois",2243,485,1508,433,411,168,0,11,160,225,0,11,60,47,104,86,0,11,104,86
1500000US170310102011,170310102011,"Block Group 1, Census Tract 102.01, Cook County, Illinois",1716,555,971,510,633,273,0,11,62,93,0,11,17,27,33,42,23,36,10,21
1500000US170310102012,170310102012,"Block Group 2, Census Tract 102.01, Cook County, Illinois",4592,858,1848,499,2562,754,0,11,66,103,0,11,14,22,102,191,15,25,87,182
1500000US170310102013,170310102013,"Block Group 3, Census Tract 102.01, Cook County, Illinois",775,239,379,162,350,194,16,27,20,31,0,11,10,17,0,11,0,11,0,11
1500000US170310102021,170310102021,"Block Group 1, Census Tract 102.02, Cook County, Illinois",1427,445,625,328,348,131,6,11,239,287,18,33,135,130,56,59,23,35,33,49
1500000US170310102022,170310102022,"Block Group 2, Census Tract 102.02, Cook County, Illinois",1075,277,474,185,491,236,0,11,9,15,0,11,73,49,28,28,17,26,11,10
1500000US170310103001,170310103001,"Block Group 1, Census Tract 103, Cook County, Illinois",998,352,662,290,190,104,0,11,21,29,0,11,120,179,5,11,0,11,5,11
1500000US170310103002,170310103002,"Block Group 2, Census Tract 103, Cook County, Illinois",2200,610,1179,362,867,530,0,11,117,106,0,11,4,8,33,33,0,11,33,33
1500000US170310103003,170310103003,"Block Group 3, Census Tract 103, Cook County, Illinois",1316,368,918,238,357,250,5,10,31,41,0,11,5,57,0,11,0,11,0,11
1500000US170310103004,170310103004,"Block Group 4, Census Tract 103, Cook County, Illinois",1699,489,670,265,392,232,0,11,572,486,0,11,19,28,46,45,20,33,26,30
1500000US170310104001,170310104001,"Block Group 1, Census Tract 104, Cook County, Illinois",1632,391,1143,309,356,320,0,11,14,23,0,11,51,60,68,57,27,43,41,38
1500000US170310104002,170310104002,"Block Group 2, Census Tract 104, Cook County, Illinois",858,241,525,116,125,132,0,11,168,191,0,11,0,11,40,37,12,20,28,31
1500000US170310104003,170310104003,"Block Group 3, Census Tract 104, Cook County, Illinois",2240,345,1759,285,179,78,0,11,213,96,0,11,42,59,47,49,10,19,37,45
1500000US170310105011,170310105011,"Block Group 1, Census Tract 105.01, Cook County, Illinois",1098,286,861,307,169,103,0,11,31,25,0,11,0,11,37,42,0,11,37,42
1500000US170310105012,170310105012,"Block Group 2, Census Tract 105.01, Cook County, Illinois",1669,318,644,191,934,332,0,11,26,30,0,11,17,26,48,55,0,11,48,55
1500000US170310105013,170310105013,"Block Group 3, Census Tract 105.01, Cook County, Illinois",1064,282,825,236,87,82,0,11,43,40,0,11,0,11,109,127,0,11,109,127
1500000US170310105021,170310105021,"Block Group 1, Census Tract 105.02, Cook County, Illinois",1222,354,657,231,246,141,0,11,21,25,0,11,246,265,52,57,24,38,28,44
1500000US170310105022,170310105022,"Block Group 2, Census Tract 105.02, Cook County, Illinois",2468,707,1466,428,349,138,0,11,617,687,0,11,0,11,36,43,0,11,36,43
1500000US170310105031,170310105031,"Block Group 1, Census Tract 105.03, Cook County, Illinois",1537,341,1075,329,134,79,0,11,273,108,0,11,0,11,55,65,39,61,16,24
1500000US170310105032,170310105032,"Block Group 2, Census Tract 105.03, Cook County, Illinois",691,263,502,255,83,59,0,11,53,44,0,11,12,25,41,43,0,11,41,43
1500000US170310106001,170310106001,"Block Group 1, Census Tract 106, Cook County, Illinois",2724,614,1488,516,1015,399,0,11,42,50,0,11,0,11,179,254,0,11,179,254
1500000US170310106002,170310106002,"Block Group 2, Census Tract 106, Cook County, Illinois",844,362,401,209,404,389,4,12,0,11,0,11,0,11,35,65,0,11,35,65
1500000US170310106003,170310106003,"Block Group 3, Census Tract 106, Cook County, Illinois",1455,317,1006,242,282,203,0,11,64,97,0,11,30,35,73,93,0,11,73,93
1500000US170310106004,170310106004,"Block Group 4, Census Tract 106, Cook County, Illinois",1490,354,1192,364,209,134,0,11,0,11,0,11,57,73,32,36,0,11,32,36
1500000US170310107011,170310107011,"Block Group 1, Census Tract 107.01, Cook County, Illinois",2105,399,1429,451,295,208,0,11,133,142,0,11,217,241,31,30,0,11,31,30
1500000US170310107012,170310107012,"Block Group 2, Census Tract 107.01, Cook County, Illinois",1841,376,1136,273,360,165,0,11,67,57,0,11,195,204,83,70,0,11,83,70
1500000US170310107021,170310107021,"Block Group 1, Census Tract 107.02, Cook County, Illinois",1499,421,881,349,198,128,0,11,189,141,0,11,151,209,80,86,0,11,80,86
1500000US170310107022,170310107022,"Block Group 2, Census Tract 107.02, Cook County, Illinois",1492,689,1054,624,274,207,0,11,29,32,0,11,70,68,65,79,0,11,65,79
1500000US170310107023,170310107023,"Block Group 3, Census Tract 107.02, Cook County, Illinois",1184,347,792,281,285,211,0,11,26,38,0,11,0,11,81,121,0,11,81,121
1500000US170310107024,170310107024,"Block Group 4, Census Tract 107.02, Cook County, Illinois",1099,364,251,145,320,285,0,11,0,11,0,11,503,320,25,41,0,11,25,41
1500000US170310201001,170310201001,"Block Group 1, Census Tract 201, Cook County, Illinois",2545,499,1294,354,491,331,0,11,548,491,0,11,114,136,98,93,0,11,98,93
1500000US170310201002,170310201002,"Block Group 2, Census Tract 201, Cook County, Illinois",1445,407,503,162,646,311,0,11,271,248,0,11,0,11,25,40,0,11,25,40
1500000US170310202001,170310202001,"Block Group 1, Census Tract 202, Cook County, Illinois",1370,455,1238,424,0,11,0,11,0,11,0,11,132,192,0,11,0,11,0,11
1500000US170310202002,170310202002,"Block Group 2, Census Tract 202, Cook County, Illinois",1460,626,1111,568,50,47,0,11,273,224,0,11,26,45,0,11,0,11,0,11
1500000US170310202003,170310202003,"Block Group 3, Census Tract 202, Cook County, Illinois",1689,397,1525,435,0,11,0,11,164,137,0,11,0,11,0,11,0,11,0,11
1500000US170310202004,170310202004,"Block Group 4, Census Tract 202, Cook County, Illinois",1736,393,662,237,236,207,0,11,733,277,0,11,0,11,105,103,0,11,105,103
1500000US170310203011,170310203011,"Block Group 1, Census Tract 203.01, Cook County, Illinois",1619,330,1331,285,107,91,9,16,158,140,0,11,0,11,14,23,14,23,0,11
1500000US170310203012,170310203012,"Block Group 2, Census Tract 203.01, Cook County, Illinois",1360,320,1144,334,0,11,13,22,203,134,0,11,0,11,0,11,0,11,0,11
1500000US170310203013,170310203013,"Block Group 3, Census Tract 203.01, Cook County, Illinois",2260,381,1893,349,173,146,15,25,137,117,0,11,10,16,32,28,0,11,32,28
1500000US170310203021,170310203021,"Block Group 1, Census Tract 203.02, Cook County, Illinois",1013,358,534,181,63,47,0,11,227,285,0,11,189,182,0,11,0,11,0,11
1500000US170310203022,170310203022,"Block Group 2, Census Tract 203.02, Cook County, Illinois",1121,455,643,304,180,228,0,11,298,273,0,11,0,11,0,11,0,11,0,11
1500000US170310203023,170310203023,"Block Group 3, Census Tract 203.02, Cook County, Illinois",2517,496,1862,499,300,208,0,11,256,242,0,11,56,87,43,50,10,15,33,48
