GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1500000US170310101001,170310101001,"Block Group 1, Census Tract 101, Cook County, Illinois",421,133,392,118,29,33
1500000US170310101002,170310101002,"Block Group 2, Census Tract 101, Cook County, Illinois",1525,388,1385,357,140,129
1500000US170310101003,170310101003,"Block Group 3, Census Tract 101, Cook County, Illinois",2243,485,1956,397,287,290
1500000US170310102011,170310102011,"Block Group 1, Census Tract 102.01, Cook County, Illinois",1716,555,1135,308,581,474
1500000US170310102012,170310102012,"Block Group 2, Census Tract 102.01, Cook County, Illinois",4592,858,3637,791,955,423
1500000US170310102013,170310102013,"Block Group 3, Census Tract 102.01, Cook County, Illinois",775,239,740,232,35,55
1500000US170310102021,170310102021,"Block Group 1, Census Tract 102.02, Cook County, Illinois",1427,445,974,342,453,317
1500000US170310102022,170310102022,"Block Group 2, Census Tract 102.02, Cook County, Illinois",1075,277,870,224,205,157
1500000US170310103001,170310103001,"Block Group 1, Census Tract 103, Cook County, Illinois",998,352,647,228,351,266
1500000US170310103002,170310103002,"Block Group 2, Census Tract 103, Cook County, Illinois",2200,610,1863,548,337,268
1500000US170310103003,170310103003,"Block Group 3, Census Tract 103, Cook County, Illinois",1316,368,1287,375,29,106
1500000US170310103004,170310103004,"Block Group 4, Census Tract 103, Cook County, Illinois",1699,489,1452,449,247,224
1500000US170310104001,170310104001,"Block Group 1, Census Tract 104, Cook County, Illinois",1632,391,1462,367,170,99
1500000US170310104002,170310104002,"Block Group 2, Census Tract 104, Cook County, Illinois",858,241,713,220,145,120
1500000US170310104003,170310104003,"Block Group 3, Census Tract 104, Cook County, Illinois",2240,345,2101,325,139,76
1500000US170310105011,170310105011,"Block Group 1, Census Tract 105.01, Cook County, Illinois",1098,286,986,282,112,110
1500000US170310105012,170310105012,"Block Group 2, Census Tract 105.01, Cook County, Illinois",1669,318,1638,322,31,33
1500000US170310105013,170310105013,"Block Group 3, Census Tract 105.01, Cook County, Illinois",1064,282,1016,287,48,81
1500000US170310105021,170310105021,"Block Group 1, Census Tract 105.02, Cook County, Illinois",1222,354,917,247,305,274
1500000US170310105022,170310105022,"Block Group 2, Census Tract 105.02, Cook County, Illinois",2468,707,2195,692,273,147
1500000US170310105031,170310105031,"Block Group 1, Census Tract 105.03, Cook County, Illinois",1537,341,1228,283,309,211
1500000US170310105032,170310105032,"Block Group 2, Census Tract 105.03, Cook County, Illinois",691,263,626,240,65,53
1500000US170310106001,170310106001,"Block Group 1, Census Tract 106, Cook County, Illinois",2724,614,1875,413,849,454
1500000US170310106002,170310106002,"Block Group 2, Census Tract 106, Cook County, Illinois",844,362,802,354,42,59
1500000US170310106003,170310106003,"Block Group 3, Census Tract 106, Cook County, Illinois",1455,317,1249,287,206,131
1500000US170310106004,170310106004,"Block Group 4, Census Tract 106, Cook County, Illinois",1490,354,872,199,618,320
1500000US170310107011,170310107011,"Block Group 1, Census Tract 107.01, Cook County, Illinois",2105,399,1059,346,1046,419
1500000US170310107012,170310107012,"Block Group 2, Census Tract 107.01, Cook County, Illinois",1841,376,1233,276,608,286
1500000US170310107021,170310107021,"Block Group 1, Census Tract 107.02, Cook County, Illinois",1499,421,814,236,685,364
1500000US170310107022,170310107022,"Block Group 2, Census Tract 107.02, Cook County, Illinois",1492,689,700,268,792,583
1500000US170310107023,170310107023,"Block Group 3, Census Tract 107.02, Cook County, Illinois",1184,347,571,234,613,298
1500000US170310107024,170310107024,"Block Group 4, Census Tract 107.02, Cook County, Illinois",1099,364,535,292,564,298
1500000US170310201001,170310201001,"Block Group 1, Census Tract 201, Cook County, Illinois",2545,499,2102,481,443,316
1500000US170310201002,170310201002,"Block Group 2, Census Tract 201, Cook County, Illinois",1445,407,1399,403,46,40
1500000US170310202001,170310202001,"Block Group 1, Census Tract 202, Cook County, Illinois",1370,455,1238,424,132,192
1500000US170310202002,170310202002,"Block Group 2, Census Tract 202, Cook County, Illinois",1460,626,1411,619,49,62
1500000US170310202003,170310202003,"Block Group 3, Census Tract 202, Cook County, Illinois",1689,397,1361,283,328,270
1500000US170310202004,170310202004,"Block Group 4, Census Tract 202, Cook County, Illinois",1736,393,1663,402,73,104
1500000US170310203011,170310203011,"Block Group 1, Census Tract 203.01, Cook County, Illinois",1619,330,1424,275,195,194
1500000US170310203012,170310203012,"Block Group 2, Census Tract 203.01, Cook County, Illinois",1360,320,1273,291,87,104
1500000US170310203013,170310203013,"Block Group 3, Census Tract 203.01, Cook County, Illinois",2260,381,2190,373,70,90
1500000US170310203021,170310203021,"Block Group 1, Census Tract 203.02, Cook County, Illinois",1013,358,799,339,214,180
1500000US170310203022,170310203022,"Block Group 2, Census Tract 203.02, Cook County, Illinois",1121,455,827,359,294,289
1500000US170310203023,170310203023,"Block Group 3, Census Tract 203.02, Cook County, Illinois",2517,496,2141,410,376,303
1500000US170310204001,170310204001,"Block Group 1, Census Tract 204, Cook County, Illinois",693,187,606,164,87,98
1500000US170310204002,170310204002,"Block Group 2, Census Tract 204, Cook County, Illinois",1693,334,1374,272,319,317
1500000US170310204003,170310204003,"Block Group 3, Census Tract 204, Cook County, Illinois",1908,374,1355,339,553,259
1500000US170310205001,170310205001,"Block Group 1, Census Tract 205, Cook County, Illinois",2561,612,1882,412,679,508
1500000US170310205002,170310205002,"Block Group 2, Census Tract 205, Cook County, Illinois",573,411,314,160,259,366
1500000US170310205003,170310205003,"Block Group 3, Census Tract 205, Cook County, Illinois",1526,493,1134,473,392,278
1500000US170310205004,170310205004,"Block Group 4, Census Tract 205, Cook County, Illinois",1344,569,754,303,590,482
1500000US170310206011,170310206011,"Block Group 1, Census Tract 206.01, Cook County, Illinois",2177,799,1660,533,517,578
1500000US170310206012,170310206012,"Block Group 2, Census Tract 206.01, Cook County, Illinois",3127,679,2819,586,308,251
1500000US170310206013,170310206013,"Block Group 3, Census Tract 206.01, Cook County, Illinois",1393,473,1235,457,158,175
1500000US170310206021,170310206021,"Block Group 1, Census Tract 206.02, Cook County, Illinois",1003,259,677,221,326,234
1500000US170310206022,170310206022,"Block Group 2, Census Tract 206.02, Cook County, Illinois",1057,333,896,353,161,134
1500000US170310206023,170310206023,"Block Group 3, Census Tract 206.02, Cook County, Illinois",926,379,770,353,156,214
1500000US170310206024,170310206024,"Block Group 4, Census Tract 206.02, Cook County, Illinois",1116,333,698,297,418,239
1500000US170310207011,170310207011,"Block Group 1, Census Tract 207.01, Cook County, Illinois",818,108,691,126,127,90
1500000US170310207012,170310207012,"Block Group 2, Census Tract 207.01, Cook County, Illinois",1075,343,934,315,141,94
1500000US170310207021,170310207021,"Block Group 1, Census Tract 207.02, Cook County, Illinois",2372,859,2232,842,140,130
1500000US170310207022,170310207022,"Block Group 2, Census Tract 207.02, Cook County, Illinois",3078,1001,2278,818,800,721
1500000US170310207023,170310207023,"Block Group 3, Census Tract 207.02, Cook County, Illinois",1870,774,1820,771,50,53
1500000US170310207024,170310207024,"Block Group 4, Census Tract 207.02, Cook County, Illinois",912,539,804,541,108,127
1500000US170310208011,170310208011,"Block Group 1, Census Tract 208.01, Cook County, Illinois",1470,451,586,270,884,456
1500000US170310208012,170310208012,"Block Group 2, Census Tract 208.01, Cook County, Illinois",943,414,852,389,91,91
1500000US170310208013,170310208013,"Block Group 3, Census Tract 208.01, Cook County, Illinois",769,287,597,291,172,149
1500000US170310208014,170310208014,"Block Group 4, Census Tract 208.01, Cook County, Illinois",1330,444,1108,405,222,182
1500000US170310208021,170310208021,"Block Group 1, Census Tract 208.02, Cook County, Illinois",1480,877,1029,491,451,828
1500000US170310208022,170310208022,"Block Group 2, Census Tract 208.02, Cook County, Illinois",2285,979,1900,824,385,515
1500000US170310208023,170310208023,"Block Group 3, Census Tract 208.02, Cook County, Illinois",2364,775,1917,664,447,342
1500000US170310208024,170310208024,"Block Group 4, Census Tract 208.02, Cook County, Illinois",1813,680,1688,685,125,154
1500000US170310209011,170310209011,"Block Group 1, Census Tract 209.01, Cook County, Illinois",2245,668,1961,634,284,214
1500000US170310209012,170310209012,"Block Group 2, Census Tract 209.01, Cook County, Illinois",683,267,497,250,186,196
1500000US170310209013,170310209013,"Block Group 3, Census Tract 209.01, Cook County, Illinois",2085,542,1272,400,813,478
1500000US170310209021,170310209021,"Block Group 1, Census Tract 209.02, Cook County, Illinois",2261,422,1964,383,297,132
1500000US170310209022,170310209022,"Block Group 2, Census Tract 209.02, Cook County, Illinois",1934,355,1799,342,135,106
1500000US170310301011,170310301011,"Block Group 1, Census Tract 301.01, Cook County, Illinois",993,380,633,195,360,356
1500000US170310301012,170310301012,"Block Group 2, Census Tract 301.01, Cook County, Illinois",318,163,251,113,67,79
1500000US170310301013,170310301013,"Block Group 3, Census Tract 301.01, Cook County, Illinois",1143,405,898,379,245,217
1500000US170310301014,170310301014,"Block Group 4, Census Tract 301.01, Cook County, Illinois",1273,326,1134,289,139,113
1500000US170310301021,170310301021,"Block Group 1, Census Tract 301.02, Cook County, Illinois",994,183,841,151,153,94
1500000US170310301022,170310301022,"Block Group 2, Census Tract 301.02, Cook County, Illinois",835,269,715,245,120,118
1500000US170310301023,170310301023,"Block Group 3, Census Tract 301.02, Cook County, Illinois",1127,281,996,257,131,130
1500000US170310301031,170310301031,"Block Group 1, Census Tract 301.03, Cook County, Illinois",813,271,761,251,52,41
1500000US170310301032,170310301032,"Block Group 2, Census Tract 301.03, Cook County, Illinois",1425,366,1118,295,307,198
1500000US170310301041,170310301041,"Block Group 1, Census Tract 301.04, Cook County, Illinois",2928,441,2704,416,224,84
1500000US170310301042,170310301042,"Block Group 2, Census Tract 301.04, Cook County, Illinois",760,323,689,329,71,47
1500000US170310302001,170310302001,"Block Group 1, Census Tract 302, Cook County, Illinois",1366,293,1282,290,84,77
1500000US170310302002,170310302002,"Block Group 2, Census Tract 302, Cook County, Illinois",1045,195,1002,191,43,59
1500000US170310302003,170310302003,"Block Group 3, Census Tract 302, Cook County, Illinois",1018,233,918,211,100,87
1500000US170310302004,170310302004,"Block Group 4, Census Tract 302, Cook County, Illinois",1845,608,1216,275,629,626
1500000US170310303001,170310303001,"Block Group 1, Census Tract 303, Cook County, Illinois",1450,340,951,203,499,329
1500000US170310303002,170310303002,"Block Group 2, Census Tract 303, Cook County, Illinois",1599,280,826,180,773,268
1500000US170310304001,170310304001,"Block Group 1, Census Tract 304, Cook County, Illinois",1536,220,1010,156,526,161
1500000US170310304002,170310304002,"Block Group 2, Census Tract 304, Cook County, Illinois",1147,249,786,207,361,192
1500000US170310305001,170310305001,"Block Group 1, Census Tract 305, Cook County, Illinois",1407,423,1081,240,326,409
1500000US170310305002,170310305002,"Block Group 2, Census Tract 305, Cook County, Illinois",1994,470,1312,288,682,346
1500000US170310305003,170310305003,"Block Group 3, Census Tract 305, Cook County, Illinois",1429,451,1027,343,402,271
1500000US170310305004,170310305004,"Block Group 4, Census Tract 305, Cook County, Illinois",1439,337,1105,249,334,275
1500000US170310306011,170310306011,"Block Group 1, Census Tract 306.01, Cook County, Illinois",772,240,754,235,18,30
1500000US170310306012,170310306012,"Block Group 2, Census Tract 306.01, Cook County, Illinois",1035,400,671,274,364,294
1500000US170310306013,170310306013,"Block Group 3, Census Tract 306.01, Cook County, Illinois",1731,367,1568,349,163,102
1500000US170310306031,170310306031,"Block Group 1, Census Tract 306.03, Cook County, Illinois",1038,393,985,387,53,52
1500000US170310306032,170310306032,"Block Group 2, Census Tract 306.03, Cook County, Illinois",1010,214,934,213,76,52
1500000US170310306041,170310306041,"Block Group 1, Census Tract 306.04, Cook County, Illinois",1102,247,1076,246,26,24
1500000US170310306042,170310306042,"Block Group 2, Census Tract 306.04, Cook County, Illinois",1143,238,1091,235,52,52
1500000US170310306043,170310306043,"Block Group 3, Census Tract 306.04, Cook County, Illinois",716,209,703,208,13,20
1500000US170310307011,170310307011,"Block Group 1, Census Tract 307.01, Cook County, Illinois",1734,293,1649,269,85,61
1500000US170310307021,170310307021,"Block Group 1, Census Tract 307.02, Cook County, Illinois",849,183,828,183,21,22
1500000US170310307022,170310307022,"Block Group 2, Census Tract 307.02, Cook County, Illinois",611,170,604,170,7,11
1500000US170310307031,170310307031,"Block Group 1, Census Tract 307.03, Cook County, Illinois",756,200,741,202,15,23
1500000US170310307032,170310307032,"Block Group 2, Census Tract 307.03, Cook County, Illinois",544,187,498,168,46,61
1500000US170310307033,170310307033,"Block Group 3, Census Tract 307.03, Cook County, Illinois",1279,297,1190,280,89,66
1500000US170310307061,170310307061,"Block Group 1, Census Tract 307.06, Cook County, Illinois",2157,325,1977,354,180,167
1500000US170310307062,170310307062,"Block Group 2, Census Tract 307.06, Cook County, Illinois",1303,286,1198,299,105,118
1500000US170310308001,170310308001,"Block Group 1, Census Tract 308, Cook County, Illinois",1191,337,1048,325,143,155
1500000US170310308002,170310308002,"Block Group 2, Census Tract 308, Cook County, Illinois",1074,220,999,223,75,87
1500000US170310308003,170310308003,"Block Group 3, Census Tract 308, Cook County, Illinois",840,226,798,229,42,60
1500000US170310308004,170310308004,"Block Group 4, Census Tract 308, Cook County, Illinois",1300,463,1016,278,284,313
1500000US170310309001,170310309001,"Block Group 1, Census Tract 309, Cook County, Illinois",374,118,351,117,23,24
1500000US170310309002,170310309002,"Block Group 2, Census Tract 309, Cook County, Illinois",1017,202,776,198,241,144
1500000US170310309003,170310309003,"Block Group 3, Census Tract 309, Cook County, Illinois",1055,309,902,261,153,160
1500000US170310309004,170310309004,"Block Group 4, Census Tract 309, Cook County, Illinois",761,224,656,202,105,99
1500000US170310310001,170310310001,"Block Group 1, Census Tract 310, Cook County, Illinois",1179,280,908,217,271,244
1500000US170310310002,170310310002,"Block Group 2, Census Tract 310, Cook County, Illinois",996,222,852,215,144,134
1500000US170310310003,170310310003,"Block Group 3, Census Tract 310, Cook County, Illinois",1347,256,1250,249,97,57
1500000US170310311001,170310311001,"Block Group 1, Census Tract 311, Cook County, Illinois",1944,393,1848,387,96,74
1500000US170310311002,170310311002,"Block Group 2, Census Tract 311, Cook County, Illinois",777,281,664,249,113,140
1500000US170310311003,170310311003,"Block Group 3, Census Tract 311, Cook County, Illinois",1415,397,942,245,473,434
1500000US170310312001,170310312001,"Block Group 1, Census Tract 312, Cook County, Illinois",1242,354,1155,337,87,106
1500000US170310312002,170310312002,"Block Group 2, Census Tract 312, Cook County, Illinois",1200,382,1151,381,49,38
1500000US170310312003,170310312003,"Block Group 3, Census Tract 312, Cook County, Illinois",1055,282,786,186,269,236
1500000US170310312004,170310312004,"Block Group 4, Census Tract 312, Cook County, Illinois",1363,299,1155,289,208,158
1500000US170310313001,170310313001,"Block Group 1, Census Tract 313, Cook County, Illinois",1242,470,1152,460,90,132
1500000US170310313002,170310313002,"Block Group 2, Census Tract 313, Cook County, Illinois",1305,257,1168,233,137,99
1500000US170310313003,170310313003,"Block Group 3, Census Tract 313, Cook County, Illinois",596,318,596,318,0,11
1500000US170310313004,170310313004,"Block Group 4, Census Tract 313, Cook County, Illinois",2427,414,2086,336,341,316
1500000US170310313005,170310313005,"Block Group 5, Census Tract 313, Cook County, Illinois",1973,419,1661,388,312,191
1500000US170310314001,170310314001,"Block Group 1, Census Tract 314, Cook County, Illinois",1564,252,1383,255,181,134
1500000US170310314002,170310314002,"Block Group 2, Census Tract 314, Cook County, Illinois",832,221,816,230,16,26
1500000US170310314003,170310314003,"Block Group 3, Census Tract 314, Cook County, Illinois",791,224,761,223,30,35
1500000US170310314004,170310314004,"Block Group 4, Census Tract 314, Cook County, Illinois",136,146,129,133,7,15
