Id2,Total,NotHispanic,Hispanic,percHispanic,percHispanic
170310101001,421,392,29,6.90,7
170310101002,1525,1385,140,9.20,9
170310101003,2243,1956,287,12.80,13
170310102011,1716,1135,581,33.90,34
170310102012,4592,3637,955,20.80,21
170310102013,775,740,35,4.50,5
170310102021,1427,974,453,31.70,32
170310102022,1075,870,205,19.10,19
170310103001,998,647,351,35.20,35
170310103002,2200,1863,337,15.30,15
170310103003,1316,1287,29,2.20,2
170310103004,1699,1452,247,14.50,15
170310104001,1632,1462,170,10.40,10
170310104002,858,713,145,16.90,17
170310104003,2240,2101,139,6.20,6
170310105011,1098,986,112,10.20,10
170310105012,1669,1638,31,1.90,2
170310105013,1064,1016,48,4.50,5
170310105021,1222,917,305,25.00,25
170310105022,2468,2195,273,11.10,11
170310105031,1537,1228,309,20.10,20
170310105032,691,626,65,9.40,9
170310106001,2724,1875,849,31.20,31
170310106002,844,802,42,5.00,5
170310106003,1455,1249,206,14.20,14
170310106004,1490,872,618,41.50,42
170310107011,2105,1059,1046,49.70,50
170310107012,1841,1233,608,33.00,33
170310107021,1499,814,685,45.70,46
170310107022,1492,700,792,53.10,53
170310107023,1184,571,613,51.80,52
170310107024,1099,535,564,51.30,51
170310201001,2545,2102,443,17.40,17
170310201002,1445,1399,46,3.20,3
170310202001,1370,1238,132,9.60,10
170310202002,1460,1411,49,3.40,3
170310202003,1689,1361,328,19.40,19
170310202004,1736,1663,73,4.20,4
170310203011,1619,1424,195,12.00,12
170310203012,1360,1273,87,6.40,6
170310203013,2260,2190,70,3.10,3
170310203021,1013,799,214,21.10,21
170310203022,1121,827,294,26.20,26
170310203023,2517,2141,376,14.90,15
170310204001,693,606,87,12.60,13
170310204002,1693,1374,319,18.80,19
170310204003,1908,1355,553,29.00,29
170310205001,2561,1882,679,26.50,27
170310205002,573,314,259,45.20,45
170310205003,1526,1134,392,25.70,26
170310205004,1344,754,590,43.90,44
170310206011,2177,1660,517,23.70,24
170310206012,3127,2819,308,9.80,10
170310206013,1393,1235,158,11.30,11
170310206021,1003,677,326,32.50,33
170310206022,1057,896,161,15.20,15
170310206023,926,770,156,16.80,17
170310206024,1116,698,418,37.50,38
170310207011,818,691,127,15.50,16
170310207012,1075,934,141,13.10,13
170310207021,2372,2232,140,5.90,6
170310207022,3078,2278,800,26.00,26
170310207023,1870,1820,50,2.70,3
170310207024,912,804,108,11.80,12
170310208011,1470,586,884,60.10,60
170310208012,943,852,91,9.70,10
170310208013,769,597,172,22.40,22
170310208014,1330,1108,222,16.70,17
170310208021,1480,1029,451,30.50,31
170310208022,2285,1900,385,16.80,17
170310208023,2364,1917,447,18.90,19
170310208024,1813,1688,125,6.90,7
170310209011,2245,1961,284,12.70,13
170310209012,683,497,186,27.20,27
170310209013,2085,1272,813,39.00,39
170310209021,2261,1964,297,13.10,13
170310209022,1934,1799,135,7.00,7
170310301011,993,633,360,36.30,36
170310301012,318,251,67,21.10,21
170310301013,1143,898,245,21.40,21
170310301014,1273,1134,139,10.90,11
170310301021,994,841,153,15.40,15
170310301022,835,715,120,14.40,14
170310301023,1127,996,131,11.60,12
170310301031,813,761,52,6.40,6
170310301032,1425,1118,307,21.50,22
170310301041,2928,2704,224,7.70,8
170310301042,760,689,71,9.30,9
170310302001,1366,1282,84,6.10,6
170310302002,1045,1002,43,4.10,4
170310302003,1018,918,100,9.80,10
170310302004,1845,1216,629,34.10,34
170310303001,1450,951,499,34.40,34
170310303002,1599,826,773,48.30,48
170310304001,1536,1010,526,34.20,34
170310304002,1147,786,361,31.50,32
170310305001,1407,1081,326,23.20,23
170310305002,1994,1312,682,34.20,34
170310305003,1429,1027,402,28.10,28
170310305004,1439,1105,334,23.20,23
170310306011,772,754,18,2.30,2
170310306012,1035,671,364,35.20,35
170310306013,1731,1568,163,9.40,9
170310306031,1038,985,53,5.10,5
170310306032,1010,934,76,7.50,8
170310306041,1102,1076,26,2.40,2
170310306042,1143,1091,52,4.50,5
170310306043,716,703,13,1.80,2
170310307011,1734,1649,85,4.90,5
170310307021,849,828,21,2.50,3
170310307022,611,604,7,1.10,1
170310307031,756,741,15,2.00,2
170310307032,544,498,46,8.50,9
170310307033,1279,1190,89,7.00,7
170310307061,2157,1977,180,8.30,8
170310307062,1303,1198,105,8.10,8
170310308001,1191,1048,143,12.00,12
170310308002,1074,999,75,7.00,7
170310308003,840,798,42,5.00,5
170310308004,1300,1016,284,21.80,22
170310309001,374,351,23,6.10,6
170310309002,1017,776,241,23.70,24
170310309003,1055,902,153,14.50,15
170310309004,761,656,105,13.80,14
170310310001,1179,908,271,23.00,23
170310310002,996,852,144,14.50,15
170310310003,1347,1250,97,7.20,7
170310311001,1944,1848,96,4.90,5
170310311002,777,664,113,14.50,15
170310311003,1415,942,473,33.40,33
170310312001,1242,1155,87,7.00,7
170310312002,1200,1151,49,4.10,4
170310312003,1055,786,269,25.50,26
170310312004,1363,1155,208,15.30,15
170310313001,1242,1152,90,7.20,7
170310313002,1305,1168,137,10.50,11
170310313003,596,596,0,0.00,0
170310313004,2427,2086,341,14.10,14
170310313005,1973,1661,312,15.80,16
170310314001,1564,1383,181,11.60,12
170310314002,832,816,16,1.90,2
170310314003,791,761,30,3.80,4
170310314004,136,129,7,5.10,5
170310314005,1161,942,219,18.90,19
170310314006,776,717,59,7.60,8
170310315011,844,777,67,7.90,8
170310315012,1365,1305,60,4.40,4
170310315013,1221,1151,70,5.70,6
170310315021,1559,1073,486,31.20,31
170310315022,1112,1031,81,7.30,7
170310315023,1715,1548,167,9.70,10
170310317001,2108,1438,670,31.80,32
170310317002,1749,1628,121,6.90,7
170310317003,1566,1371,195,12.50,13
170310317004,1102,1102,0,0.00,0
170310318001,1717,1377,340,19.80,20
170310319001,1211,1078,133,11.00,11
170310319002,1144,1051,93,8.10,8
170310321001,1593,1502,91,5.70,6
170310321002,1607,1461,146,9.10,9
170310321003,1544,1301,243,15.70,16
170310321004,1069,919,150,14.00,14
170310321005,954,809,145,15.20,15
170310401001,1328,1237,91,6.90,7
170310401002,1647,1075,572,34.70,35
170310401003,1023,961,62,6.10,6
170310402011,1022,732,290,28.40,28
170310402012,1580,1403,177,11.20,11
170310402013,1350,1237,113,8.40,8
170310402014,2243,1753,490,21.80,22
170310402021,914,904,10,1.10,1
170310402022,2795,2271,524,18.70,19
170310402023,1305,1073,232,17.80,18
170310402024,1677,1397,280,16.70,17
170310403001,1020,919,101,9.90,10
170310403002,824,764,60,7.30,7
170310403003,812,699,113,13.90,14
170310404011,698,550,148,21.20,21
170310404012,485,423,62,12.80,13
170310404013,663,470,193,29.10,29
170310404014,990,850,140,14.10,14
170310404021,586,586,0,0.00,0
170310404022,881,543,338,38.40,38
170310404023,1168,872,296,25.30,25
170310404024,515,515,0,0.00,0
170310404025,1551,1415,136,8.80,9
170310406001,757,666,91,12.00,12
170310406002,882,863,19,2.20,2
170310406003,1045,785,260,24.90,25
170310407001,957,742,215,22.50,23
170310407002,854,686,168,19.70,20
170310407003,781,472,309,39.60,40
170310407004,761,575,186,24.40,24
170310408001,984,909,75,7.60,8
170310408002,831,752,79,9.50,10
170310409001,1443,1290,153,10.60,11
170310409002,675,636,39,5.80,6
170310501001,834,630,204,24.50,25
170310501002,1572,1404,168,10.70,11
170310502001,1136,901,235,20.70,21
170310502002,2121,1616,505,23.80,24
170310502003,1863,1490,373,20.00,20
170310503001,995,798,197,19.80,20
170310503002,805,619,186,23.10,23
170310503003,766,614,152,19.80,20
170310505001,860,846,14,1.60,2
170310505002,1589,1448,141,8.90,9
170310505003,585,564,21,3.60,4
170310505004,1116,910,206,18.50,19
170310505005,1215,1025,190,15.60,16
170310506001,1269,1159,110,8.70,9
170310506002,1145,1015,130,11.40,11
170310507001,1753,1671,82,4.70,5
170310508001,1427,1323,104,7.30,7
170310509001,1660,1547,113,6.80,7
170310510001,1610,1355,255,15.80,16
170310511001,1526,1287,239,15.70,16
170310512001,726,721,5,0.70,1
170310512002,836,671,165,19.70,20
170310513001,1553,1332,221,14.20,14
170310513002,1400,1292,108,7.70,8
170310514001,1571,1444,127,8.10,8
170310514002,603,447,156,25.90,26
170310601001,723,704,19,2.60,3
170310601002,1101,1033,68,6.20,6
170310601003,772,647,125,16.20,16
170310602001,892,785,107,12.00,12
170310602002,1234,1037,197,16.00,16
170310603001,1834,1775,59,3.20,3
170310603002,1342,1264,78,5.80,6
170310604001,1956,1605,351,17.90,18
170310604002,1125,1106,19,1.70,2
170310604003,922,865,57,6.20,6
170310605001,1235,1091,144,11.70,12
170310608001,1532,1439,93,6.10,6
170310608002,0,0,0,#DIV/0!,#DIV/0!
170310608003,3308,3191,117,3.50,4
170310609001,756,676,80,10.60,11
170310609002,0,0,0,#DIV/0!,#DIV/0!
170310609003,1671,1424,247,14.80,15
170310609004,3564,3059,505,14.20,14
170310609005,767,702,65,8.50,9
170310610001,1716,1452,264,15.40,15
170310611001,1309,1267,42,3.20,3
170310612001,2235,2133,102,4.60,5
170310615001,1859,1740,119,6.40,6
170310618001,1130,1006,124,11.00,11
170310619011,623,530,93,14.90,15
170310619012,1040,975,65,6.30,6
170310619013,793,753,40,5.00,5
170310619014,1329,1074,255,19.20,19
170310619021,1042,1028,14,1.30,1
170310619022,1570,1452,118,7.50,8
170310619023,1433,1349,84,5.90,6
170310619024,0,0,0,#DIV/0!,#DIV/0!
170310620001,1969,1863,106,5.40,5
170310620002,928,928,0,0.00,0
170310621001,959,916,43,4.50,5
170310621002,1102,1010,92,8.30,8
170310621003,1311,1221,90,6.90,7
170310622001,1593,1483,110,6.90,7
170310622002,1394,1344,50,3.60,4
170310623001,1716,1645,71,4.10,4
170310624001,1622,1537,85,5.20,5
170310625001,1342,1282,60,4.50,5
170310626001,2281,1988,293,12.80,13
170310627001,782,656,126,16.10,16
170310627002,835,805,30,3.60,4
170310627003,1140,1121,19,1.70,2
170310628001,1195,1006,189,15.80,16
170310628002,1168,1101,67,5.70,6
170310628003,1429,1359,70,4.90,5
170310629001,1415,1408,7,0.50,1
170310629002,1146,1074,72,6.30,6
170310629003,1615,1554,61,3.80,4
170310630001,1324,1197,127,9.60,10
170310630002,1088,979,109,10.00,10
170310630003,643,591,52,8.10,8
170310631001,1344,1193,151,11.20,11
170310631002,1055,1020,35,3.30,3
170310632001,1012,1012,0,0.00,0
170310632002,657,657,0,0.00,0
170310632003,911,861,50,5.50,6
170310632004,1395,1375,20,1.40,1
170310632005,714,668,46,6.40,6
170310632006,1891,1832,59,3.10,3
170310633011,1100,973,127,11.50,12
170310633012,704,658,46,6.50,7
170310633013,822,822,0,0.00,0
170310633021,1717,1692,25,1.50,2
170310633022,1010,932,78,7.70,8
170310633023,489,440,49,10.00,10
170310633024,970,942,28,2.90,3
170310633031,492,457,35,7.10,7
170310633032,665,650,15,2.30,2
170310634001,1143,1059,84,7.30,7
170310634002,1015,933,82,8.10,8
170310701011,1363,1340,23,1.70,2
170310701012,1456,1442,14,1.00,1
170310701013,1169,1169,0,0.00,0
170310701021,995,840,155,15.60,16
170310701022,763,763,0,0.00,0
170310701023,898,726,172,19.20,19
170310701031,1004,969,35,3.50,4
170310701032,675,587,88,13.00,13
170310702001,2109,1914,195,9.20,9
170310702002,1013,962,51,5.00,5
170310702003,815,789,26,3.20,3
170310703001,2120,2014,106,5.00,5
170310703002,1263,1229,34,2.70,3
170310704001,1353,1109,244,18.00,18
170310704002,936,895,41,4.40,4
170310704003,1151,1150,1,0.10,0
170310705001,872,767,105,12.00,12
170310705002,1124,1039,85,7.60,8
170310705003,1026,986,40,3.90,4
170310706001,1832,1531,301,16.40,16
170310706002,1251,1212,39,3.10,3
170310707001,2878,2484,394,13.70,14
170310707002,1105,838,267,24.20,24
170310710001,2377,2155,222,9.30,9
170310710002,1900,1704,196,10.30,10
170310711001,1503,1471,32,2.10,2
170310711002,1429,1361,68,4.80,5
170310712001,940,785,155,16.50,17
170310712002,1076,1015,61,5.70,6
170310713001,1465,1378,87,5.90,6
170310713002,1949,1923,26,1.30,1
170310714001,632,507,125,19.80,20
170310714002,1817,1754,63,3.50,4
170310714003,1219,1180,39,3.20,3
170310714004,689,675,14,2.00,2
170310715001,873,853,20,2.30,2
170310715002,1201,1184,17,1.40,1
170310715003,1319,1185,134,10.20,10
170310715004,1107,1013,94,8.50,9
170310715005,496,467,29,5.80,6
170310715006,714,701,13,1.80,2
170310716001,1715,1666,49,2.90,3
170310717001,885,744,141,15.90,16
170310717002,928,919,9,1.00,1
170310718001,2065,1978,87,4.20,4
170310718002,605,558,47,7.80,8
170310801001,997,997,0,0.00,0
170310801002,1461,1371,90,6.20,6
170310801003,877,812,65,7.40,7
170310801004,911,911,0,0.00,0
170310801005,878,729,149,17.00,17
170310801006,895,878,17,1.90,2
