contbr_zip,sum_Sanders,count_Sanders,sum_Clinton,count_Clinton,Clint_sumDif,Clint_countDif,sum_Trump,count_Trump,sum_Cruz,count_Cruz,sum_rubio,count_rubio,sum_Kasich,count_Kasich
60002,"$1,085.54",13,$250.00,1,-$835.54,-12 ,,,$825.00,18,,,,
60004,"$5,657.55",76,"$12,385.08",21,"$6,727.53",-55 ,,,"$6,011.00",38,"$1,460.00",16,"$2,700.00",1
60005,"$4,617.89",49,"$5,950.00",4,"$1,332.11",-45 ,,,$380.16,12,$395.00,3,"$1,000.00",1
60007,"$2,495.00",34,"$1,400.00",4,"-$1,095.00",-30 ,,,$790.00,12,$250.00,1,,
60008,"$1,724.48",57,$346.00,9,"-$1,378.48",-48 ,$300.00,3,$195.00,7,"$5,300.00",3,,
60010,"$7,157.42",63,"$29,480.33",51,"$22,322.91",-12 ,"$1,350.53",7,"$22,937.10",61,"$38,471.05",60,"$15,500.00",7
60013,$875.00,29,"$5,674.64",12,"$4,799.64",-17 ,,,$915.00,12,$425.00,4,,
60016,"$2,339.90",59,"$4,325.00",18,"$1,985.10",-41 ,,,$400.00,6,$385.00,7,,
60018,$915.00,17,"$4,291.63",8,"$3,376.63",-9 ,,,$470.00,13,$250.00,1,,
60020,"$1,425.66",18,$450.00,6,-$975.66,-12 ,,,$450.00,6,,,,
60021,,,,,,,,,$50.00,1,,,,
60030,"$2,730.84",61,"$1,407.00",20,"-$1,323.84",-41 ,,,,,"$2,700.00",3,,
60031,$994.25,20,$650.00,18,-$344.25,-2 ,,,$726.00,9,$710.00,10,,
60041,,,$450.00,3,,,,,,,,,,
60042,$135.00,6,"$2,700.00",1,"$2,565.00",-5 ,,,,,,,,
60046,"$2,899.93",27,"$2,687.00",6,-$212.93,-21 ,,,$911.00,20,$50.00,1,"$3,700.00",3
60047,"$4,130.72",55,"$27,750.00",21,"$23,619.28",-34 ,$677.49,3,$576.00,4,"$8,150.00",26,,
