FID_,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,zips,sum_Trump,count_Trump,sum_Cruz,count_Cruz,sum_rubio,count_rubio,sum_Kasich,count_Kasich,Most_Sum
,60502,60502,B5,G6350,S,27028820.000000000000000,401788.000000000000000,+41.7906513,-088.2597375,60502,0.000000000000000,0.000000000000000,250.000000000000000,1.000000000000000,770.049999999999950,9.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60503,60503,B5,G6350,S,8627967.000000000000000,19957.000000000000000,+41.7121266,-088.2551801,60503,0.000000000000000,0.000000000000000,350.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60504,60504,B5,G6350,S,22953504.000000000000000,546626.000000000000000,+41.7474520,-088.2386218,60504,100.000000000000000,1.000000000000000,200.000000000000000,1.000000000000000,75.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60510,60510,B5,G6350,S,67209290.000000000000000,2418151.000000000000000,+41.8411409,-088.3066021,60510,0.000000000000000,0.000000000000000,1803.000000000000000,29.000000000000000,0.000000000000000,0.000000000000000,250.000000000000000,1.000000000000000,Cruz
,60002,60002,B5,G6350,S,84458635.000000000000000,12420082.000000000000000,+42.4717406,-088.0844932,60002,0.000000000000000,0.000000000000000,825.000000000000000,18.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60004,60004,B5,G6350,S,28698393.000000000000000,66765.000000000000000,+42.1127796,-087.9795423,60004,0.000000000000000,0.000000000000000,6011.000000000000000,38.000000000000000,1460.000000000000000,16.000000000000000,2700.000000000000000,1.000000000000000,Cruz
,60005,60005,B5,G6350,S,16992489.000000000000000,104883.000000000000000,+42.0644900,-087.9854615,60005,0.000000000000000,0.000000000000000,380.160000000000030,12.000000000000000,395.000000000000000,3.000000000000000,1000.000000000000000,1.000000000000000,Kasich
,60007,60007,B5,G6350,S,36472584.000000000000000,926513.000000000000000,+42.0086000,-087.9973398,60007,0.000000000000000,0.000000000000000,790.000000000000000,12.000000000000000,250.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60008,60008,B5,G6350,S,13384616.000000000000000,16606.000000000000000,+42.0697858,-088.0162210,60008,300.000000000000000,3.000000000000000,195.000000000000000,7.000000000000000,5300.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60010,60010,B5,G6350,S,191096769.000000000000000,6853249.000000000000000,+42.1464938,-088.1646506,60010,1350.530000000000000,7.000000000000000,22937.099999999999000,61.000000000000000,38471.050000000003000,60.000000000000000,15500.000000000000000,7.000000000000000,Rubio
,60013,60013,B5,G6350,S,37802416.000000000000000,2102747.000000000000000,+42.2234388,-088.2355059,60013,0.000000000000000,0.000000000000000,915.000000000000000,12.000000000000000,425.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60523,60523,B5,G6350,S,23180345.000000000000000,878090.000000000000000,+41.8365583,-087.9532781,60523,0.000000000000000,0.000000000000000,1617.000000000000000,13.000000000000000,1127.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,Cruz
