ID,Crosswalk,Town,Time to cross,Cars past,Lat,Long
1,Central Road/Emerson Street,Mount Prospect,"10 minutes, 7 seconds",99,42.066274,-87.935388
2,Landmeier/Wildwood roads,Elk Grove Village,5 minutes,26,42.015539,-87.980588
3,N. Butterfield Road/south of Rt. 137,Libertyville,4 minutes 32 seconds,46,42.304404,-87.983623
4,Algonquin Road/Southwest Place,Des Plaines,4 minutes,58,42.030804,-87.906551
5,Lies Road/east of Buckingham Drive,Carol Stream,3 minutes 30 seconds,18,41.930064,-88.145461
6,Kirchoff Road/Oriole Lane,Rolling Meadows,3 minutes 23 seconds,53,42.076918,-88.01105
7,Third/South streets,Geneva,2 minutes,6,41.882814,-88.309058
8,Naperville Road/Tennyson Drive,Wheaton,1 minute 50 seconds,53,41.847298,-88.101734
9,Busse Road/Lonnquist Blvd,Mount Prospect,1 minute 43 seconds,21,42.051643,-87.960312
10,Rohlwing Road/Kenilworth Ave.,Palatine,"1 minute, 8 seconds",22,42.10656,-88.024175
