"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% female head","% female head with children","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","%White Non-Hispanic"," %Black Hispanic","%White Hispanic","%Other Hispanic","% Hispanic","% Multiple Race","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
9,="Summary of All HUD Programs",1,="NA",="001 Adams County",="17001",1235,93,1131,100,6,21,1.7,1968,284,400,12425,7140,5,35,28,17,16,28,1,62,28,90,64,1,30,73,28,38,31,22,9,37,21,33,5,22,21,0,0,77,-1,1,0,1,2,4,69,48,92,59,27,14,7,23,11,59,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="003 Alexander County",="17003",545,76,254,61,8,11,2.2,549,202,574,9324,4314,40,26,15,6,13,28,8,61,21,91,76,0,44,75,43,21,52,13,11,53,25,11,1,87,86,-1,-1,13,0,-1,-1,0,0,5,91,16,252,40,22,39,17,56,65,62,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="005 Bond County",="17005",216,87,189,100,6,23,1.6,298,233,392,11034,6998,8,42,29,10,11,15,3,72,23,95,78,3,17,68,17,54,37,33,3,33,24,40,3,13,12,-1,-1,87,-1,1,-1,1,0,26,64,98,82,72,13,14,4,19,18,73,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="007 Boone County",="17007",587,80,479,100,6,21,1.8,873,291,532,12394,6800,6,28,29,21,17,22,1,67,27,92,61,3,33,83,34,24,14,12,5,37,15,43,6,26,18,0,0,73,-1,5,2,7,0,37,65,99,74,53,34,12,7,18,35,68,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="009 Brown County",="17009",127,92,119,100,6,18,1.4,164,253,327,11663,8463,8,37,33,15,8,17,-1,81,25,93,74,2,17,52,15,68,71,50,3,43,30,24,5,1,1,-1,-1,99,-1,-1,-1,0,0,5,81,54,102,83,11,6,1,14,34,75,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="011 Bureau County",="17011",365,99,363,100,5,20,1.5,532,274,312,13180,8993,11,24,29,18,18,23,0,74,29,91,58,1,17,66,16,49,35,33,5,34,25,35,4,6,3,0,1,93,-1,2,1,3,0,3,62,26,178,81,10,9,4,12,11,76,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="013 Calhoun County",="17013",43,98,40,95,6,25,2.7,108,212,408,9947,3684,23,41,26,5,5,38,-1,60,16,98,93,23,38,75,50,14,80,12,13,60,15,13,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,2,50,100,139,-1,58,43,28,14,2,84,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="015 Carroll County",="17015",98,98,96,100,7,13,1.6,151,315,241,15729,10000,4,29,24,20,23,19,2,79,36,82,45,4,17,68,20,54,28,27,6,28,18,48,10,11,5,-1,-1,89,-1,6,-1,6,0,6,65,92,29,75,10,15,3,22,10,76,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="017 Cass County",="17017",98,93,93,100,5,29,2.3,217,345,454,23793,10197,3,19,26,14,37,46,1,51,47,68,40,22,23,54,28,30,28,12,9,44,13,34,3,39,27,-1,1,61,-1,11,-1,11,0,3,53,75,108,48,25,27,3,23,35,72,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
9,="Summary of All HUD Programs",1,="NA",="019 Champaign County",="17019",2729,84,2297,100,9,24,2.3,5171,244,559,14154,6287,6,28,27,18,21,42,5,49,24,96,72,1,48,83,47,25,28,13,7,51,17,25,3,75,73,0,1,24,1,1,0,2,8,5,89,28,80,42,27,31,7,25,43,56,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
