"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% female head","% female head with children","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","%White Non-Hispanic"," %Black Hispanic","%White Hispanic","%Other Hispanic","% Hispanic","% Multiple Race","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000100",="17001000100",42,99,42,100,2,2,1,44,319,314,16337,15594,-1,17,29,31,24,5,-1,95,39,76,24,-1,-1,76,-1,100,5,11,-1,2,5,93,31,10,5,2,2,90,-1,-1,-1,0,5,-1,123,-1,-1,95,5,-1,2,8,6,81,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000201",="17001000201",65,93,33,55,7,3,1.1,36,264,292,11026,10108,-1,47,44,9,-1,3,-1,94,26,100,67,-1,6,45,6,96,100,89,-1,52,33,15,-1,6,6,-1,-1,94,-1,-1,-1,0,0,11,140,15,85,94,3,3,3,14,6,70,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000202",="17001000202",25,90,25,100,6,12,1.6,41,302,662,12254,7472,-1,42,33,17,8,12,-1,84,27,92,72,-1,24,52,24,82,67,54,4,60,28,8,-1,12,12,-1,-1,88,-1,-1,-1,0,0,4,96,28,178,36,48,16,28,16,12,83,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000400",="17001000400",65,74,64,100,6,33,2.2,142,251,642,10397,4686,5,46,30,9,9,30,3,55,21,98,80,2,47,80,45,25,44,15,14,42,30,14,2,81,78,2,-1,19,-1,2,-1,2,0,5,50,88,127,42,28,30,11,29,19,57,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000500",="17001000500",72,92,70,100,6,31,2.5,173,220,367,9012,3646,10,38,26,8,18,36,-1,36,18,94,79,-1,59,83,57,16,38,8,6,69,14,11,-1,64,60,-1,3,36,-1,1,-1,1,3,4,56,19,132,33,33,34,10,24,20,72,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000600",="17001000600",14,73,14,100,5,21,2.6,37,289,684,11240,4253,-1,50,25,8,17,36,-1,50,22,100,71,-1,43,64,36,42,100,19,-1,50,36,14,-1,50,50,-1,-1,50,-1,-1,-1,0,7,5,92,93,149,29,29,43,29,12,8,74,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000700",="17001000700",204,96,198,100,4,16,1.2,228,261,469,11822,10267,1,46,29,14,9,11,1,85,28,93,68,1,8,64,8,66,27,38,5,17,22,56,8,8,8,-1,-1,89,-1,-1,-1,0,1,6,70,48,76,90,8,2,1,43,14,23,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000800",="17001000800",240,93,233,100,6,35,2.2,515,216,361,9140,4135,12,44,22,14,9,39,3,39,19,96,83,2,52,82,50,26,36,15,18,52,20,9,-1,24,23,-1,-1,76,-1,0,-1,0,2,4,52,16,132,32,44,24,9,36,15,47,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 000900",="17001000900",17,71,17,100,6,29,3.1,53,223,687,9109,2922,8,17,33,33,8,35,-1,35,17,100,76,6,65,88,59,20,50,9,6,71,12,12,-1,35,35,-1,-1,65,-1,-1,-1,0,0,6,35,100,151,18,18,65,6,32,8,74,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 001001",="17001001001",4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
