join,place,wage,leave,color
Alsip,Alsip,Yes,Yes,Yes
Arlington Heights,Arlington Heights,Yes,Yes,Yes
Barrington,Barrington,Yes,Yes,Yes
Barrington Hills,Barrington Hills,No,No,No
Bartlett,Bartlett,Yes,Yes,Yes
Bedford Park,Bedford Park,Yes,Yes,Yes
Bellwood,Bellwood,Yes,Yes,Yes
Bensenville,Bensenville,Yes,Yes,Yes
Berkeley,Berkeley,Yes,Yes,Yes
Berwyn,Berwyn,No,No,No
Blue Island,Blue Island,TBD,TBD,TBD
Bridgeview,Bridgeview,Yes,Yes,Yes
Broadview,Broadview,No,No,No
Brookfield,Brookfield,TBD,TBD,TBD
Buffalo Grove,Buffalo Grove,Yes,Yes,Yes
Burbank,Burbank,Yes,Yes,Yes
Burnham,Burnham,TBD,TBD,TBD
Burr Ridge,Burr Ridge,Yes,Yes,Yes
Calumet City,Calumet City,Yes,Yes,Yes
Calumet Park,Calumet Park,Yes,Yes,Yes
Chicago,Chicago,No,No,No
Chicago Heights,Chicago Heights,Yes,Yes,Yes
Chicago Ridge,Chicago Ridge,Yes,Yes,Yes
Cicero,Cicero,Yes,No,mix
Country Club Hills,Country Club Hills,TBD,TBD,TBD
Countryside,Countryside,No,No,No
Crestwood,Crestwood,Yes,Yes,Yes
Deer Park,Deer Park,No,No,No
Deerfield,Deerfield,No,No,No
Des Plaines,Des Plaines,Yes,Yes,Yes
Dixmoor,Dixmoor,Yes,Yes,Yes
Dolton,Dolton,No,No,No
East Dundee,East Dundee,TBD,TBD,TBD
East Hazel Crest,East Hazel Crest,Yes,Yes,Yes
Elgin,Elgin,Yes,Yes,Yes
Elk Grove Village,Elk Grove Village,Yes,Yes,Yes
Elmhurst,Elmhurst,No,No,No
Elmwood Park,Elmwood Park,Yes,Yes,Yes
Evanston,Evanston,No,No,No
Evergreen Park,Evergreen Park,Yes,Yes,Yes
Flossmoor,Flossmoor,Yes,Yes,Yes
Ford Heights,Ford Heights,No,No,No
Forest Park,Forest Park,Yes,Yes,Yes
Forest View,Forest View,Yes,Yes,Yes
Frankfort,Frankfort,No,No,No
Franklin Park,Franklin Park,Yes,Yes,Yes
Glencoe,Glencoe,No,No,No
Glenview,Glenview,Yes,Yes,Yes
Glenwood,Glenwood,TBD,TBD,TBD
Golf,Golf,Yes,Yes,Yes
Hanover Park,Hanover Park,Yes,Yes,Yes
Harvey,Harvey,No,No,No
Harwood Heights,Harwood Heights,Yes,Yes,Yes
Hazel Crest,Hazel Crest,Yes,TBD,mix
Hickory Hills,Hickory Hills,Yes,Yes,Yes
Hillside,Hillside,Yes,Yes,Yes
Hinsdale,Hinsdale,Yes,Yes,Yes
Hodgkins,Hodgkins,Yes,Yes,Yes
Hoffman Estates,Hoffman Estates,Yes,Yes,Yes
Homer Glen,Homer Glen,No,No,No
Hometown,Hometown,Yes,Yes,Yes
Homewood,Homewood,Yes,Yes,Yes
Indian Head Park,Indian Head Park,Yes,Yes,Yes
Inverness,Inverness,Yes,Yes,Yes
Justice,Justice,Yes,Yes,Yes
Kenilworth,Kenilworth,No,No,No
La Grange,La Grange,TBD,TBD,TBD
La Grange Park,La Grange Park,Yes,Yes,Yes
Lansing,Lansing,Yes,Yes,Yes
Lemont,Lemont,Yes,Yes,Yes
Lincolnwood,Lincolnwood,Yes,Yes,Yes
Lynwood,Lynwood,Yes,Yes,Yes
Lyons,Lyons,Yes,Yes,Yes
Markham,Markham,TBD,TBD,TBD
Matteson,Matteson,TBD,TBD,TBD
Maywood,Maywood,Yes,Yes,Yes
Mc Cook,McCook,No,No,No
Melrose Park,Melrose Park,Yes,Yes,Yes
Merrionette Park,Merrionette Park,Yes,Yes,Yes
Midlothian,Midlothian,Yes,Yes,Yes
Morton Grove,Morton Grove,Yes,Yes,Yes
Mount Prospect,Mount Prospect,Yes,Yes,Yes
Niles,Niles,Yes,Yes,Yes
Norridge,Norridge,Yes,Yes,Yes
North Riverside,North Riverside,Yes,Yes,Yes
Northbrook,Northbrook,Yes,Yes,Yes
Northfield,Northfield,No,No,No
Northlake,Northlake,Yes,Yes,Yes
Oak Brook,Oak Brook,No,No,No
Oak Forest,Oak Forest,Yes,Yes,Yes
Oak Lawn,Oak Lawn,Yes,Yes,Yes
Oak Park,Oak Park,No,No,No
Olympia Fields,Olympia Fields,TBD,TBD,TBD
Orland Hills,Orland Hills,Yes,Yes,Yes
Orland Park,Orland Park,Yes,Yes,Yes
Palatine,Palatine,Yes,Yes,Yes
Palos Heights,Palos Heights,Yes,Yes,Yes
Palos Hills,Palos Hills,Yes,Yes,Yes
Palos Park,Palos Park,Yes,Yes,Yes
Park Forest,Park Forest,TBD,TBD,TBD
Park Ridge,Park Ridge,Yes,Yes,Yes
Phoenix,Phoenix,TBD,TBD,TBD
Posen,Posen,Yes,Yes,Yes
Prospect Heights,Prospect Heights,Yes,Yes,Yes
Richton Park,Richton Park,TBD,TBD,TBD
River Forest,River Forest,Yes,Yes,Yes
River Grove,River Grove,Yes,Yes,Yes
Riverdale,Riverdale,TBD,TBD,TBD
Riverside,Riverside,Yes,Yes,Yes
Robbins,Robbins,TBD,TBD,TBD
Rolling Meadows,Rolling Meadows,Yes,Yes,Yes
Roselle,Roselle,TBD,TBD,TBD
Rosemont,Rosemont,Yes,Yes,Yes
Sauk Village,Sauk Village,No,No,No
Schaumburg,Schaumburg,Yes,Yes,Yes
Schiller Park,Schiller Park,Yes,Yes,Yes
Skokie,Skokie,No,No,No
South Barrington,South Barrington,Yes,Yes,Yes
South Chicago Heights,South Chicago Heights,Yes,Yes,Yes
South Holland,South Holland,Yes,Yes,Yes
Steger,Steger,Yes,Yes,Yes
Stickney,Stickney,Yes,Yes,Yes
Stone Park,Stone Park,Yes,Yes,Yes
Streamwood,Streamwood,Yes,Yes,Yes
Summit,Summit,Yes,Yes,Yes
Thornton,Thornton,Yes,Yes,Yes
Tinley Park,Tinley Park,Yes,Yes,Yes
University Park,University Park,No,No,No
Westchester,Westchester,No,No,No
Western Springs,Western Springs,Yes,Yes,Yes
Wheeling,Wheeling,Yes,Yes,Yes
Willow Springs,Willow Springs,Yes,Yes,Yes
Wilmette,Wilmette,TBD,TBD,TBD
Winnetka,Winnetka,No,No,No
Worth,Worth,Yes,Yes,Yes
