Place,NumberLocations,NumberMachines,MunicipalityShare
Abingdon,3,12,1758.72
Adams County,11,38,5752.93
Addieville,1,4,142.69
Addison,20,93,26209.8
Albany,2,8,418.39
Albers,1,3,507.92
Albion,3,10,513.3
Aledo,3,11,1405.65
Alexander County,3,12,1313.35
Alexis,2,6,332.75
Algonquin,14,64,9270.87
Alhambra,2,5,520.85
Alorton,1,5,5011.67
Alsey,1,4,335.07
Alsip,12,56,18227.56
Altamont,5,21,1587.87
Alton,32,133,24984
Altona,1,5,422.79
Amboy,6,28,3773.69
Andalusia,1,3,267.14
Anna,7,32,3797.25
Annawan,3,15,2591.75
Antioch,15,69,19116.31
Arcola,3,13,2078.14
Arenzville,1,2,117.74
Argenta,2,10,809.47
Arlington,1,4,825.81
Armington,1,3,138.85
Aroma Park,3,10,1977.13
Arthur,2,9,972.76
Ashkum,2,6,766.36
Ashland,2,9,1142.48
Ashley,3,15,2008.53
Ashmore,3,15,2135.79
Ashton,3,14,1125.87
Assumption,2,9,1010.17
Astoria,1,3,312.25
Athens,4,19,2951.87
Atlanta,3,13,918.56
Atwood,2,10,1327.31
Auburn,8,31,4568.2
Augusta,2,7,467.09
Aurora,31,143,29692.31
Ava,2,7,858.79
Aviston,3,9,866.92
Avon,1,4,667.56
Baldwin,2,5,445.67
Banner,2,8,878.3
Barry,5,19,2184.88
Bartelso,4,11,507.23
Bartlett,11,47,15728.01
Bartonville,18,84,11922.11
Basco,1,2,288.17
Batavia,4,20,2560.43
Batchtown,1,5,567.33
Bath,1,3,378.28
Beach Park,4,19,4565.68
Beardstown,8,37,5918.64
Beaverville,2,10,1305.88
Beckemeyer,2,10,2467
Bedford Park,3,13,6890.13
Beecher,9,40,5370.76
Belgium,3,15,2264.69
Belleville,29,127,24098.28
Bellevue,3,15,2060.66
Bellwood,2,8,1589.37
Belvidere,19,94,23296.05
Bement,4,18,1265.79
Benld,3,14,1212.45
Bensenville,3,15,4493.26
Benson,2,7,900.56
Benton,13,61,7508.96
Berkeley,6,28,7745.94
Berwyn,54,242,49930.84
Bethalto,3,11,1583.29
Bethany,1,5,385.44
Big Rock,1,4,597.19
Bishop Hill,1,3,106.61
Blandinsville,3,9,410.47
Bloomingdale,7,24,4292.02
Bloomington,56,249,65325.16
Blue Island,26,117,20678.77
Blue Mound,2,10,1055.95
Bluffs,1,5,1366.49
Boone County,10,44,8008.54
Bourbonnais,4,18,3741.44
Bowen,1,3,143.56
Braceville,1,5,2.75
Bradford,2,7,327.83
Bradley,22,98,18536.84
Braidwood,6,25,3292.54
Breese,9,35,4409.36
Bridgeport,6,22,2125.5
Bridgeview,24,114,30608.51
Brighton,1,4,397.69
Brimfield,3,15,1236.95
Broadlands,1,5,512.55
Broadview,5,22,4754.49
Brocton,1,5,464.01
Brookfield,14,66,13546.21
Brooklyn,1,3,656.62
Brown County,1,2,47.55
Bryant,1,3,216.1
Buckley,2,10,1592.34
Buckner,1,5,993.7
Buda,1,3,233.66
Buffalo,1,3,357.8
Buffalo Grove,6,28,4678.67
Bull Valley,1,4,299.72
Bulpitt,1,5,589.22
Buncombe,2,8,961.69
Bunker Hill,2,10,1015.51
Burbank,22,107,31725.4
Bureau,1,5,569.97
Bureau County,3,9,513.3
Burlington,1,5,606.78
Burnham,3,15,3693.29
Bushnell,5,18,1546.36
Byron,6,27,5054.66
Cabery,1,4,179.63
Cahokia,9,38,4704.8
Cairo,4,18,3052.82
Calhoun County,4,17,1037.49
Calumet City,18,82,19710.14
Calumet Park,10,46,14554.98
Cambridge,2,8,730.09
Camp Point,2,5,325.62
Campbell Hill,2,8,1381.29
Campus,1,5,190.32
Canton,11,50,8662.5
Cantrall,1,3,177.72
Capron,1,5,485.41
Carbon Cliff,2,10,950.5
Carbon Hill,2,7,723.73
Carbondale,22,98,15253.11
Carlinville,9,37,6027.43
Carlyle,6,26,4140.55
Carmi,7,31,5186.34
Carol Stream,12,60,19263.49
Carpentersville,18,84,17933.94
Carrier Mills,2,9,1491.74
Carroll County,3,10,1331.69
Carrollton,5,25,3632.68
Carterville,1,5,1247.59
Carthage,2,8,1099.7
Cary,7,35,6092.76
Casey,4,18,3200.7
Caseyville,16,69,13177.82
Cass County,1,5,246.93
Catlin,1,5,425.65
Cedar Point,2,8,673.19
Central City,3,15,3579.21
Centralia,20,97,18540.2
Centreville,2,8,2441.75
Cerro Gordo,1,4,190.89
Champaign,56,264,61078.5
Champaign County,6,26,5525.65
Chandlerville,1,4,596.49
Channahon,8,32,5059.96
Charleston,18,75,10265.21
Chatham,12,53,6937
Chatsworth,2,8,496.88
Chebanse,4,14,1026.77
Chenoa,5,25,4200.98
Cherry,1,5,94.81
Cherry Valley,8,39,7299.01
Chester,10,46,7031.76
Chesterfield,1,3,363.83
Chicago Heights,16,74,17916.39
Chicago Ridge,20,95,20506.31
Chillicothe,13,62,9543.11
Christian County,5,21,2452.98
Christopher,7,30,4384.02
Cicero,33,146,48922.58
Cissna Park,1,3,49
Claremont,1,3,82.51
Clark County,2,7,504.65
Clay City,2,8,1145.54
Clay County,1,3,203.55
Clayton,1,3,142.1
Clifton,4,18,1861.3
Clinton,8,38,8266.16
Clinton County,8,37,4551.06
Coal City,6,23,5140.89
Coal Valley,4,14,1496.22
Coalton,1,4,494.05
Cobden,1,3,377.73
Coles County,1,4,135.66
Colfax,1,3,398.59
Collinsville,20,86,13041.96
Colona,4,18,2167.6
Columbia,7,26,4260.86
Compton,1,3,190.75
Cooksville,1,5,654.34
Cordova,2,9,896.62
Cornell,1,3,187.73
Coulterville,4,20,4453.21
Country Club Hills,5,22,2434.87
Countryside,20,88,21994.61
Crainville,1,5,150.92
Crawford County,1,5,255.47
Creal Springs,1,3,279.96
Crescent City,2,8,697.76
Crest Hill,14,62,11765.4
Creston,1,3,337.05
Crestwood,29,143,34591.13
Crete,10,47,10275.4
Creve Coeur,9,40,7584.62
Crystal Lake,14,40,7325.24
Cuba,3,14,1083.85
Cullom,1,5,264.72
Cumberland County,3,11,1122.01
Curran,1,5,541.6
Cypress,1,4,320.69
Dallas City,1,5,449.11
Dalton City,2,8,868.04
Dalzell,1,4,424.96
Damiansville,1,4,341.42
Danvers,1,3,394.74
Danville,28,126,23010.65
Darien,8,38,13342.26
Davis,2,8,714.26
Davis Junction,3,15,2274.57
Dawson,2,7,789.67
De Witt,2,10,1658.96
Decatur,80,383,108003.48
Deer Creek,1,3,209.62
Deer Grove,1,2,59.13
DeKalb,21,92,15807.78
Delavan,3,12,1030.53
Depue,2,10,1105.7
Diamond,4,17,4144.22
Dieterich,2,7,705.23
Divernon,5,21,3017.28
Dixmoor,2,9,1928.58
Dixon,27,122,21763.49
Dolton,13,60,13910.79
Dongola,1,4,751.29
Donnellson,1,4,648.86
Douglas County,4,16,1474.04
Dowell,1,5,628.29
Downs,2,8,1702.08
Du Bois,2,8,633.83
Du Quoin,12,58,8962.13
Dunlap,2,9,1372.38
Dupo,5,22,3471.51
Durand,2,10,1467.66
Dwight,12,56,8719.52
Earlville,1,3,49.52
East Alton,14,65,10658.39
East Brooklyn,1,5,74.36
East Cape Girardeau,2,10,1633.39
East Dubuque,11,49,9320.47
East Dundee,12,55,13525.28
East Galesburg,2,7,928.85
East Gillespie,2,10,1376.11
East Hazel Crest,2,10,3563.1
East Moline,19,86,15684.5
East Peoria,23,104,14795.26
Easton,1,3,304.43
Edgewood,3,12,1260.24
Edinburg,2,10,1205.56
Effingham,30,136,35579.61
Effingham County,9,37,5663.28
El Paso,7,30,3365.42
Elburn,2,10,2301.96
Eldorado,6,29,6707.79
Eldred,3,10,833.49
Elgin,28,117,23019.39
Elizabeth,2,7,562.98
Elizabethtown,1,3,187.98
Elk Grove Village,20,93,31327.06
Elkhart,1,4,379.67
Elmwood,3,12,2006.6
Elmwood Park,19,89,28016.91
Emden,2,9,1044.68
Erie,1,5,647.85
Essex,4,14,1246.81
Eureka,1,5,666.69
Evansville,4,17,1063.83
Evergreen Park,1,5,2335.01
Fairbury,4,16,2087.8
Fairfield,4,18,3471.19
Fairmont City,7,33,5683.01
Fairview,1,3,249.16
Fairview Heights,11,50,11111.43
Farina,2,10,3372.21
Farmer City,4,20,3690.28
Farmersville,3,12,2675.3
Farmington,4,17,1622.44
Fayette County,1,4,426.79
Fayetteville,1,3,362.69
Fieldon,2,8,601.4
Findlay,1,4,234.54
Fisher,3,11,668.79
Fithian,2,9,683.92
Flanagan,2,8,682.48
Flora,7,34,6574.77
Florence,1,4,604.46
Flossmoor,1,5,428.14
Ford Heights,2,10,2318.58
Forest Park,15,66,6690.64
Forest View,3,14,7930.66
Forrest,1,3,508.05
Forreston,2,9,1276.16
Fox Lake,25,117,23899.04
Fox River Grove,7,31,7134.43
Franklin County,3,13,1633.62
Franklin Park,11,49,9550.66
Freeburg,4,18,3569.37
Freeport,23,111,28449.55
Fulton,6,29,5633.65
Fulton County,4,13,1510.93
Galena,7,28,5299.67
Galesburg,29,129,28609.91
Galva,3,14,1155.98
Gardner,2,9,1108.64
Genoa,5,22,3389.37
Georgetown,5,23,3842.93
German Valley,1,5,412.96
Germantown,3,14,1727.48
Germantown Hills,2,9,1236.1
Gibson City,8,37,3262.66
Gifford,3,14,1232.46
Gilberts,5,23,3672.53
Gillespie,4,15,933.29
Gilman,8,34,6127.76
Girard,3,13,2058.66
Gladstone,1,3,143.49
Glasford,2,6,630.65
Glasgow,1,4,691.94
Glendale Heights,9,45,13487.85
Glenwood,7,35,7461.03
Godfrey,10,45,7224.24
Godley,1,5,683.94
Golconda,1,5,490.05
Grafton,4,12,1299.22
Grandview,5,25,4324.48
Granite City,23,105,26010.4
Grant Park,3,12,1110.75
Grantfork,1,2,105.6
Granville,3,10,971.83
Grayville,7,33,6059.52
Green Oaks,1,3,538.06
Greene County,3,12,769.84
Greenup,6,28,5219.98
Greenview,2,8,1079.23
Greenville,5,19,4270.17
Gridley,1,5,360.13
Griggsville,3,11,1214.19
Grundy County,5,25,2909.65
Gulfport,2,8,216.2
Hamel,2,7,2924.85
Hamilton,3,13,2259.49
Hamilton County,2,9,2222.82
Hammond,1,4,327.34
Hampshire,8,38,8746.49
Hampton,2,10,1301.53
Hancock County,2,6,568.18
Hanna City,3,9,984.14
Hanover,2,8,928.11
Hanover Park,6,30,13178.79
Hardin,2,6,781.61
Harmon,1,5,895
Harrisburg,19,91,10523.47
Harristown,2,10,2164.58
Hartford,2,9,889.14
Harvard,16,75,9819.27
Harvel,1,4,168.1
Harvey,10,43,6837.7
Havana,7,28,4948.06
Hazel Crest,1,5,442.89
Hebron,4,20,3409.9
Hecker,1,5,401.94
Henderson County,1,3,301.44
Hennepin,1,4,691.12
Henry,6,28,2348.99
Henry County,1,5,570.19
Herrin,20,88,13486.54
Herscher,3,13,1126.97
Heyworth,3,12,2451.48
Hickory Hills,16,71,20674.46
Highland,15,66,8236.06
Hillcrest,1,5,1228.73
Hillsboro,7,28,1659
Hillsdale,1,5,1471.73
Hillside,3,13,3138.85
Hinckley,3,13,1572.05
Hindsboro,3,14,1512.03
Hodgkins,2,9,3548.14
Hoffman,1,3,279.78
Hoffman Estates,21,100,33360.1
Homer,1,4,319.57
Homer Glen,12,55,15065.9
Hometown,5,25,10663.53
Homewood,6,30,5178.58
Hoopeston,5,22,3735.28
Hopkins Park,1,4,608.87
Hoyleton,1,5,746.59
Hudson,2,7,1580.77
Humboldt,1,5,187.94
Huntley,12,56,11778.84
Hurst,2,10,817.67
Illiopolis,2,10,1500.04
Ina,1,4,2477.45
Indian Head Park,3,15,5599.21
Ipava,3,7,734.23
Iroquois,2,4,418.37
Iroquois County,4,7,5.68434E-14
Irving,1,3,308.96
Island Lake,5,25,5845.2
Itasca,3,14,3119.12
Ivesdale,2,8,842.17
Jackson County,7,25,1399.97
Jacksonville,28,125,23584.2
Jasper County,2,10,1563.17
Jefferson County,5,20,-1.13687E-13
Jerome,6,30,7675.18
Jersey County,6,21,1550.54
Jerseyville,10,43,5943.29
Jo Daviess County,1,3,154.96
Johnsburg,12,57,9555.87
Johnson County,1,5,564.22
Johnston City,7,34,5242.59
Joliet,75,314,62198.93
Jonesboro,1,5,592.56
Joy,2,6,446.23
Junction City,1,4,326.98
Justice,12,59,14599.38
Kampsville,2,6,446.9
Kane,1,4,289.15
Kane County,13,65,15907.21
Kangley,1,3,273
Kankakee,40,187,32170.74
Kankakee County,8,35,4794.73
Kappa,1,5,685.86
Keithsburg,2,7,823.08
Kempton,1,3,234.58
Kendall County,6,27,4266.21
Kenney,1,5,598.1
Kewanee,20,82,11471.84
Keyesport,2,10,1115.98
Kilbourne,1,5,455.14
Kingston,2,10,1430.94
Kingston Mines,1,3,193.63
Kirkland,3,11,736.72
Knox County,5,20,2634.16
Knoxville,3,12,2414.56
La Harpe,1,3,69.68
La Salle,26,109,15032.28
La Salle County,29,117,15654.23
Lacon,6,22,2012.86
Ladd,4,16,1562.36
Lake County,58,267,58230.51
Lake In the Hills,11,49,13892.44
Lake Villa,10,45,11239.63
Lake Zurich,12,58,15287.44
Lakemoor,4,20,5335
Lamoille,1,4,537.23
Lanark,2,7,654.02
Lansing,12,56,10580.67
Lawrence County,6,27,7169.78
Lawrenceville,8,37,4226.89
Leaf River,1,4,384.68
Lebanon,4,17,2761.86
Lee,1,5,445.45
Lee County,8,33,3979.14
Leland,1,5,556.28
Lemont,15,69,15057
Lena,3,15,1473.18
Lenzburg,2,8,1156.94
Leonore,1,3,306.99
Leroy,5,22,5300.35
Lewistown,4,13,1330.88
Lexington,2,9,650.48
Limestone,1,5,763.82
Lincoln,19,93,20749.98
Lindenhurst,1,5,2129.66
Litchfield,14,65,12787.27
Little York,1,3,280.99
Livingston County,3,9,677.98
Loami,1,4,238.65
Lockport,16,76,16706.44
Loda,2,9,1830.78
Logan County,5,20,2283.07
Lomax,2,6,963.72
London Mills,1,5,544.97
Long Creek,3,15,3542.81
Long Grove,5,20,2508.17
Long Point,1,5,264.46
Loraine,1,4,400.23
Loves Park,49,239,72176.26
Lovington,2,10,1027.86
Ludlow,1,3,578.91
Lyndon,3,14,1296.36
Lynwood,9,45,11994.05
Lyons,18,89,23369.28
Machesney Park,14,66,17544.42
Mackinaw,1,4,689.87
Macomb,10,36,4438.09
Macon,3,15,3683.09
Macon County,4,20,3994.76
Macoupin County,6,20,1132.14
Madison,10,45,10536.12
Madison County,22,93,5551.61
Magnolia,1,5,412.27
Mahomet,4,18,3453.3
Malta,1,5,986.97
Manhattan,4,20,4133.22
Manito,2,10,1630.33
Manlius,2,7,689.88
Mansfield,1,5,1255.07
Manteno,13,63,11020.52
Maple Park,4,15,2197.33
Mapleton,1,3,482.1
Maquon,1,3,73.02
Marengo,11,54,8614.64
Marietta,2,8,1311.34
Marine,2,9,1601.44
Marion,19,83,18086.21
Marion County,4,15,1984.27
Marissa,2,8,988.46
Mark,1,4,588.39
Markham,10,50,12192.73
Maroa,1,5,786.06
Marseilles,11,47,7741.28
Marshall,4,19,10180.54
Martinsville,1,5,1714.96
Martinton,1,2,242.04
Mascoutah,12,47,8812.72
Mason City,5,21,2462.08
Mason County,6,21,1926.87
Matherville,1,3,200.86
Matteson,11,49,13439.95
Mattoon,29,144,27658.74
Maywood,1,5,1419.91
Mazon,1,5,480.05
McClure,1,3,371.81
McCook,6,28,6889.31
McCullom Lake,2,10,1881.04
McDonough County,1,3,177.68
McHenry,34,156,33841.28
McHenry County,28,127,18072.46
McLean,1,5,2657.85
McLean County,6,25,3451.6
Mcleansboro,3,15,1597.23
McNabb,1,4,33.17
Mechanicsburg,3,10,508.39
Melrose Park,27,122,24718.29
Menard County,1,3,283.58
Mendon,2,9,1105.16
Mendota,16,68,7891.4
Menominee,2,7,257.51
Meredosia,2,10,1804.28
Merrionette Park,4,17,8608.98
Metamora,1,5,1055.91
Metcalf,1,5,603.53
Metropolis,7,32,9591.54
Middletown,1,4,320.41
Midlothian,24,117,20721.68
Milan,9,35,5208.57
Milford,2,9,966.84
Milledgeville,2,9,873.64
Millington,2,6,644.17
Millstadt,6,24,3648.32
Mineral,1,5,958.38
Minier,2,8,429.91
Minonk,4,15,2889.28
Minooka,9,39,6645.77
Mokena,15,71,22086.74
Moline,32,124,17730.62
Momence,8,31,3729.92
Monee,9,44,10911.84
Monmouth,12,47,4771.24
Monroe Center,3,14,3252.04
Monroe County,3,12,2078.04
Montgomery,10,47,8121.09
Montgomery County,2,6,195.22
Monticello,8,36,7069.09
Montrose,1,5,562.49
Morgan County,3,14,2447.92
Morris,24,100,21401.35
Morrison,5,25,2471.29
Morrisonville,2,9,685.72
Morton Grove,8,40,22832.81
Moultrie County,6,24,4340.28
Mound City,1,4,254.79
Mounds,1,3,244.39
Mount Auburn,1,4,541.54
Mount Carmel,7,33,6119.17
Mount Carroll,3,12,1009.75
Mount Clare,2,10,1530.03
Mount Morris,7,28,3323.88
Mount Olive,7,31,3739.41
Mount Pulaski,1,5,1226.51
Mount Sterling,2,6,455.84
Mount Vernon,17,80,32135.63
Mount Zion,3,15,2420.08
Moweaqua,2,6,842.25
Muddy,1,5,347.51
Mulberry Grove,1,5,246.87
Mundelein,11,53,9553.15
Murphysboro,8,39,6735.52
Naplate,4,17,2137.18
Naples,1,3,160.63
Nashville,9,40,7473.27
Nelson,1,4,669.48
Neoga,3,13,1972.18
Neponset,2,9,1025.11
New Athens,1,3,528.77
New Baden,3,12,3155.53
New Berlin,3,15,2883.7
New Boston,2,8,1222.46
New Canton,3,11,765.37
New Douglas,1,4,479.93
New Haven,1,5,221.36
New Holland,2,7,404.85
New Lenox,13,59,14691.35
New Milford,3,15,3548.34
New Minden,2,8,482.58
Newman,2,9,717.54
Newton,7,29,2128.51
Niantic,1,3,258.19
Niles,11,52,12736.09
Nokomis,4,15,1012.12
Nora,1,4,498.18
Normal,13,58,16884.51
Norridge,8,38,14689.77
Norris,1,2,120.32
Norris City,1,3,201.85
North Aurora,8,37,6815.35
North Chicago,12,56,15686.94
North City,1,5,1045.67
North Pekin,5,24,3534.9
North Riverside,11,53,15962.77
North Utica,5,22,4134.25
Northlake,10,45,9812.33
Norwood,1,4,384.86
Oak Forest,17,81,20952.05
Oak Grove,1,5,1793.53
Oak Lawn,38,187,55529.41
Oakbrook Terrace,9,45,18969.87
Oakdale,1,4,151.26
Oakford,1,4,454.74
Oakwood,4,20,5341.32
Oblong,2,8,747.5
Oconee,1,5,880.46
Odell,1,4,789.67
O'Fallon,13,60,10276.09
