County,County,State,FIPS,Rate2006,Rate2007,Rate2008,Rate2009,Rate2010,Rate2011,Rate2012,Rate2013,Rate2014,Rate2015,Rate2016,Diff06-16
"Adams, IL",Adams,IL,17001,92.3,100.1,104.6,103.8,112.7,115,136.8,145.3,151.1,141.8,133.7,41.4
"Alexander, IL",Alexander,IL,17003,34.4,45.7,58.1,58.1,68.2,59.9,51.1,45.1,48.7,47.6,4.4,-30
"Bond, IL",Bond,IL,17005,61.1,62,57.6,61,67.9,70.5,75.1,72.1,69,61,55.5,-5.6
"Boone, IL",Boone,IL,17007,48,53.1,54.3,54.4,57.2,59.2,58.6,56.6,55.3,53.6,50.6,2.6
"Brown, IL",Brown,IL,17009,,,,,,,,,5.6,3.3,2.7,
"Bureau, IL",Bureau,IL,17011,18.9,30,33,30.7,31.8,33.4,33.1,33.1,32.5,32.4,31,12.1
"Calhoun, IL",Calhoun,IL,17013,47.2,61.4,66,58.8,2.4,,,,5.6,2.3,2,-45.2
"Carroll, IL",Carroll,IL,17015,18.3,17,17.3,18.1,19.8,21,21.8,20.9,24.7,29.8,36.2,17.9
"Cass, IL",Cass,IL,17017,68.4,66.2,55.8,50.1,42.2,40.2,53.7,33.7,34.5,30.7,24.6,-43.8
"Champaign, IL",Champaign,IL,17019,60,65.4,69.5,72.3,76.8,76.7,76.4,72.2,72,70.4,65.9,5.9
"Christian, IL",Christian,IL,17021,86.1,97.9,102.7,108.7,111.5,111.4,107.1,96.6,101.8,96,86.8,0.7
"Clark, IL",Clark,IL,17023,84.3,96.8,79,79,89.9,97.5,102.4,81.5,52.9,30.1,26.6,-57.7
"Clay, IL",Clay,IL,17025,41.5,50.4,88.8,93.5,94,93.3,98.6,96.6,91.7,80.7,76,34.5
"Clinton, IL",Clinton,IL,17027,15.7,16.5,16.3,23.6,27.4,28.4,35.1,36.3,39.4,36.9,34.2,18.5
"Coles, IL",Coles,IL,17029,87.8,93.5,96,97.7,106.7,110.5,122.7,119.8,115.7,109.5,99.8,12
"Cook, IL",Cook,IL,17031,41.9,44.6,44.6,44.8,46,47.2,47.5,46.2,45.2,43,41.3,-0.6
"Crawford, IL",Crawford,IL,17033,17.4,18.9,20,19.5,21.7,22.4,30.5,34.4,40.3,34.9,32,14.6
"Cumberland, IL",Cumberland,IL,17035,,,,,,,,,2.6,2,0.6,
"DeKalb, IL",DeKalb,IL,17037,50.3,52.8,55.5,59.2,62.2,63.1,62.3,63.3,61.1,57.3,57.7,7.4
"De Witt, IL",De Witt,IL,17039,44.2,49.5,68.2,71.9,77,79.2,99.4,96.3,93.8,86.1,85.3,41.1
"Douglas, IL",Douglas,IL,17041,23.4,10.8,13,12.6,13.5,14.9,14.1,16.5,19.5,17.8,32.4,9
"DuPage, IL",DuPage,IL,17043,50.1,51.9,52.2,52.6,54.4,54.9,54.6,52.7,51.3,48.5,46.7,-3.4
"Edgar, IL",Edgar,IL,17045,78.2,85.9,94.8,97.3,98.6,100.6,129.2,136.3,147.4,118.9,105.5,27.3
"Edwards, IL",Edwards,IL,17047,,,42.5,46.8,81.6,98.9,50.7,68.5,99.6,98.1,96.2,
"Effingham, IL",Effingham,IL,17049,114.6,115.8,115.7,116.6,117.1,125.1,127.3,120.9,93.3,70.7,71.2,-43.4
"Fayette, IL",Fayette,IL,17051,49.9,60,65.1,70.7,72.7,71.5,85.4,74.2,75.8,66.3,61.5,11.6
"Ford, IL",Ford,IL,17053,19.4,13.8,,,,,,,6.1,5.5,3.7,-15.7
"Franklin, IL",Franklin,IL,17055,78.5,103.6,112.3,123.2,160,158.3,165.2,146.9,137.2,126.9,138.5,60
"Fulton, IL",Fulton,IL,17057,62.4,68.6,66,68.3,69.4,70.8,80.9,83.1,81.4,77.5,69.1,6.7
"Gallatin, IL",Gallatin,IL,17059,71.8,12.7,,,,,,,,,0.1,-71.7
"Greene, IL",Greene,IL,17061,19.7,21.2,13.7,14.2,11.3,11.4,9.3,,6.9,4.2,2.5,-17.2
"Grundy, IL",Grundy,IL,17063,81.6,82,79.8,78.5,82.7,84.7,85.4,85.4,85.5,82.8,91.6,10
"Hamilton, IL",Hamilton,IL,17065,,,,,,,,30.6,28.9,3.4,2.7,
"Hancock, IL",Hancock,IL,17067,33.8,41.5,45.6,50.5,36.3,21.3,30.3,39.1,36.8,32.3,25.9,-7.9
"Hardin, IL",Hardin,IL,17069,141.3,217.7,232.3,268.9,280.1,244.7,253.2,231.4,223.3,243.4,239.5,98.2
"Henderson, IL",Henderson,IL,17071,,,,,,,,,4.2,1.9,0.3,
"Henry, IL",Henry,IL,17073,51.3,54.4,55.8,58.4,64.1,67.5,64.5,64.9,68.6,64.3,61.5,10.2
"Iroquois, IL",Iroquois,IL,17075,60.3,63.2,66.7,65,65.1,65.4,71.9,69.1,69.1,65.6,57.6,-2.7
"Jackson, IL",Jackson,IL,17077,106.4,120.9,128.3,128.9,125.5,130.5,135,121.7,112,105.8,104.5,-1.9
"Jasper, IL",Jasper,IL,17079,61.2,66.8,88.3,75.2,69.5,53.4,50.4,47.1,46.1,41.8,42.3,-18.9
"Jefferson, IL",Jefferson,IL,17081,102.2,116.2,119.3,122.9,124.7,124,138,127.7,128.1,116.5,113.7,11.5
"Jersey, IL",Jersey,IL,17083,36.9,106.3,100.2,108.4,133.7,131.1,113.2,114.3,109.2,107.9,117.9,81
"Jo Daviess, IL",Jo Daviess,IL,17085,34.5,30.5,43.5,41,42.2,40.7,48.2,49.3,47.7,41.6,38.2,3.7
"Johnson, IL",Johnson,IL,17087,,,,,,,,,32.6,31.4,29.8,
"Kane, IL",Kane,IL,17089,45.2,47.9,47.8,46.7,48,48.1,48,46.6,46,42.8,41.5,-3.7
"Kankakee, IL",Kankakee,IL,17091,75.4,76.7,83.9,81.4,84.6,87,90,89.1,86,81.4,81.8,6.4
"Kendall, IL",Kendall,IL,17093,59.8,59.3,59,64,65.5,65.6,64.5,62.1,59.5,55.4,52.1,-7.7
"Knox, IL",Knox,IL,17095,102.1,100.8,97.4,97.1,100.5,103.2,121.4,117.7,115.8,111.8,106.9,4.8
"Lake, IL",Lake,IL,17097,54,56.6,57,58.4,58.9,59.2,60.9,59.1,57.5,54.6,52.2,-1.8
"La Salle, IL",La Salle,IL,17099,85.8,83.1,83.2,84.6,86.2,87.5,96.3,93.5,91.9,88.4,84.6,-1.2
"Lawrence, IL",Lawrence,IL,17101,91.3,91.4,96.7,98.5,96.2,97.3,115,118,103.9,93.1,86.8,-4.5
"Lee, IL",Lee,IL,17103,52.8,60.1,58,63.3,62.4,64.4,77.1,72.3,68.8,63,63.2,10.4
"Livingston, IL",Livingston,IL,17105,67.3,66.2,71.9,75.8,76.1,76.8,90.3,84.8,80.7,73.6,71.3,4
"Logan, IL",Logan,IL,17107,75,85,88.7,88.1,89.8,96.2,97.9,93.9,90.5,86.5,80.1,5.1
"McDonough, IL",McDonough,IL,17109,67.3,67.5,67.6,68.4,70,73.4,82.4,80.5,84.8,83.7,81.1,13.8
"McHenry, IL",McHenry,IL,17111,62.1,66.1,66.4,66.3,68.3,70,74.1,73.4,72.7,65.5,63,0.9
"McLean, IL",McLean,IL,17113,58.2,61.7,63.1,62.8,66.4,67,67.9,65.3,64.2,61.1,57.3,-0.9
"Macon, IL",Macon,IL,17115,87,93.4,97.4,99.9,104.7,113,115.3,112.1,107.8,102.1,98.2,11.2
"Macoupin, IL",Macoupin,IL,17117,39.3,42.4,40.6,36.8,40.4,43.3,48.6,43,37.7,37.9,39.2,-0.1
"Madison, IL",Madison,IL,17119,106.1,111.1,108.8,109.9,114.4,116.7,123.8,121.9,116.5,110.8,106.1,0
"Marion, IL",Marion,IL,17121,117.6,126.3,134.3,132.8,131.3,124.4,136,135.6,137.3,140.2,127.8,10.2
"Marshall, IL",Marshall,IL,17123,41.1,43.8,42.6,44.5,55,27.1,18.9,15.3,46.7,49.6,55.7,14.6
"Mason, IL",Mason,IL,17125,55,61.3,63.9,70.4,73,70.7,76.7,69,65.6,65.3,60.6,5.6
"Massac, IL",Massac,IL,17127,49,46.5,43.4,48.8,119.7,130.7,135.4,132.9,141.3,163.9,149.3,100.3
"Menard, IL",Menard,IL,17129,,,,,,,,,2.4,1.8,13.4,
"Mercer, IL",Mercer,IL,17131,34.4,37.4,39.1,37.2,37,38.7,42.9,40.4,41.1,37.5,34.9,0.5
"Monroe, IL",Monroe,IL,17133,55.8,80.1,83,86.8,95.3,97.2,89.1,85.6,81.4,76.2,71.9,16.1
"Montgomery, IL",Montgomery,IL,17135,106.3,120.1,123.3,135.2,147.5,157.3,151.4,133.8,127.7,117.9,122.5,16.2
"Morgan, IL",Morgan,IL,17137,109.2,114.6,113.4,116.4,126.2,124.2,128.5,122.7,125.6,125.3,127.4,18.2
"Moultrie, IL",Moultrie,IL,17139,24,25.6,28.8,31.2,33.6,37.4,43.3,41.1,42.1,42.1,39.1,15.1
"Ogle, IL",Ogle,IL,17141,11.6,13.9,12.8,23.4,26.9,29,27.4,25.3,29.3,26.5,24,12.4
"Peoria, IL",Peoria,IL,17143,82.5,86.4,87.5,86.9,89.8,90.2,94.6,89.7,87.6,85.1,79,-3.5
"Perry, IL",Perry,IL,17145,94.9,106.1,113.9,118.6,116.3,114,121.2,111.3,103.9,95.7,50.2,-44.7
"Piatt, IL",Piatt,IL,17147,28.3,29.4,33.1,30.6,28.6,34,44.6,41.2,42.2,40.9,35.8,7.5
"Pike, IL",Pike,IL,17149,57,56.6,69.4,77.3,82.1,81.7,59.4,28.2,32.6,27.6,26.8,-30.2
"Pope, IL",Pope,IL,17151,,,,,,,,8,49.4,48,49.1,
"Pulaski, IL",Pulaski,IL,17153,,,22.3,76.6,96,82.7,78.1,67.1,70.6,68.6,83.4,
"Putnam, IL",Putnam,IL,17155,,,,,,,,,22,30.1,27,
"Randolph, IL",Randolph,IL,17157,46.5,47.8,67.8,72.1,56.4,57.4,61.3,60.1,75.1,71.7,68.6,22.1
"Richland, IL",Richland,IL,17159,94.6,108.1,116.2,116.3,114,108.4,113.9,110.5,101.5,97.1,88.4,-6.2
"Rock Island, IL",Rock Island,IL,17161,70.4,73.6,77,78.6,79.3,80.9,88,87.2,88.2,84.5,84.2,13.8
