County,Town,Zip_text,Zip
COOK ,ARLINGTON HEIGHTS        ,60004,60004
COOK ,ARLINGTON HEIGHTS        ,60005,60005
COOK ,ELK GROVE VILLAGE        ,60007,60007
COOK ,ROLLING MEADOWS          ,60008,60008
COOK,DES PLAINES              ,60016,60016
COOK,DES PLAINES              ,60018,60018
COOK ,MOUNT PROSPECT           ,60056,60056
COOK ,PALATINE                 ,60067,60067
COOK ,PARK RIDGE,60068,60068
COOK ,PROSPECT HEIGHTS         ,60070,60070
COOK ,PALATINE                 ,60074,60074
COOK ,WHEELING                 ,60090,60090
COOK ,STREAMWOOD               ,60107,60107
COOK ,FRANKLIN PARK            ,60131,60131
COOK ,HANOVER PARK             ,60133,60133
COOK ,MAYWOOD                  ,60153,60153
COOK ,MELROSE PARK             ,60160,60160
COOK ,NORTHLAKE                ,60164,60164
COOK ,STONE PARK               ,60165,60165
COOK ,HOFFMAN ESTATES          ,60169,60169
COOK ,SCHAUMBURG               ,60173,60173
COOK ,SCHILLER PARK            ,60176,60176
COOK ,SCHAUMBURG               ,60193,60193
COOK ,SCHAUMBURG               ,60194,60194
COOK ,HOFFMAN ESTATES          ,60195,60195
COOK ,CHICAGO                  ,60601,60601
COOK ,CHICAGO                  ,60603,60603
COOK ,CHICAGO                  ,60605,60605
COOK ,CHICAGO                  ,60622,60622
COOK ,CHICAGO                  ,60641,60641
COOK ,LINCOLNWOOD,60712,60712
DEKALB,DEKALB,60115,60115
DEKALB,GENOA,60135,60135
DEKALB,SYCAMORE,60178,60178
DUPAGE,ADDISON                  ,60101,60101
DUPAGE,BARTLETT                 ,60103,60103
DUPAGE,BENSENVILLE              ,60106,60106
DUPAGE,BLOOMINGDALE             ,60108,60108
DUPAGE,ELMHURST                 ,60126,60126
DUPAGE,GLENDALE HEIGHTS         ,60139,60139
DUPAGE,ITASCA                   ,60143,60143
DUPAGE,LOMBARD                  ,60148,60148
DUPAGE,MEDINAH,60157,60157
DUPAGE,ROSELLE                  ,60172,60172
DUPAGE,VILLA PARK               ,60181,60181
DUPAGE,WEST CHICAGO             ,60185,60185
DUPAGE,CAROL STREAM             ,60188,60188
DUPAGE,WOOD DALE                ,60191,60191
DUPAGE,AURORA                   ,60502,60502
DUPAGE,AURORA                   ,60504,60504
DUPAGE,LISLE                    ,60532,60532
DUPAGE,NAPERVILLE               ,60540,60540
DUPAGE,WARRENVILLE              ,60555,60555
DUPAGE,NAPERVILLE               ,60563,60563
KANE   ,CARPENTERSVILLE          ,60110,60110
KANE   ,DUNDEE                   ,60118,60118
KANE   ,ELGIN                    ,60120,60120
KANE   ,ELGIN                    ,60123,60123
KANE   ,ST CHARLES               ,60174,60174
KANE   ,ST CHARLES               ,60175,60175
KANE   ,SOUTH ELGIN              ,60177,60177
KANE   ,AURORA                   ,60505,60505
KANE   ,AURORA                   ,60506,60506
KANE   ,BATAVIA                  ,60510,60510
KANE   ,NORTH AURORA             ,60542,60542
KANE   ,SUGAR GROVE              ,60554,60554
LAKE   ,BARRINGTON               ,60010,60010
LAKE,GRAYSLAKE                ,60030,60030
LAKE,LAKE ZURICH              ,60047,60047
LAKE,LIBERTYVILLE             ,60048,60048
LAKE   ,MUNDELEIN                ,60060,60060
LAKE   ,VERNON HILLS             ,60061,60061
LAKE,NORTH CHICAGO,60064,60064
LAKE   ,ROUND LAKE      ,60073,60073
LAKE   ,WAUCONDA                 ,60084,60084
LAKE   ,WAUKEGAN                 ,60085,60085
LAKE   ,WAUKEGAN                 ,60087,60087
LAKE   ,BUFFALO GROVE            ,60089,60089
LAKE   ,ZION,60099,60099
MCHENRY    ,CRYSTAL LAKE             ,60012,60012
MCHENRY    ,CARY                     ,60013,60013
MCHENRY    ,CRYSTAL LAKE             ,60014,60014
MCHENRY    ,HARVARD,60033,60033
MCHENRY    ,MC HENRY                 ,60050,60050
MCHENRY    ,WOODSTOCK                ,60098,60098
MCHENRY    ,ALGONQUIN                ,60102,60102
KENDALL,MONTGOMERY               ,60538,60538
KENDALL,OSWEGO                   ,60543,60543
WILL,JOLIET,60431,60431
WILL,JOLIET,60432,60432
WILL,JOLIET,60435,60435
WILL,JOLIET,60436,60436
WILL,ROMEOVILLE,60446,60446
WILL,PLAINFIELD,60586,60586
